# Downloaded from http://scsie.uv.es/chipsdna/mRNA%20final%20data.txt
# From Genomic Run-On Evaluates Transcription Rates for All Yeast Genes and Identifies Gene Regulatory Mechanisms, 
# Molecular Cell Volume 15, Issue 2, 23 July 2004, Pages 303–313 José Garci´a-Marti´nez1, 2, Agusti´n Aranda1, 3, José E Pérez-Orti´n
# http://www.sciencedirect.com/science/article/pii/S1097276504003375
#ORF name	Gene name	Biological Process	mRNA t0	SD t0	mRNA t1	SD t1	mRNA t2	SD t2	mRNA t3	SD t3	mRNA t4	SD t4	mRNA t5	SD t5
orf	gene	biological.process	mrna.t0	sd.t0	mrna.t1	sd.t1	mrna.t2	sd.t2	mrna.t3	sd.t3	mrna.t4	sd.t4	mrna.t5	sd.t5
YBR235W	YBR235W	unknown	44.0842	6.571	28.878	6.1917	81.4091	6.7432	65.1714	6.8051	87.8626	6.155	58.3081	6.3884
YBR236C	ABD1	mRNA capping	21.5554	6.5624	13.1603	3.1124	11.5494	3.1372	10.7658	3.2547	20.1975	5.9568	18.3547	6.2928
YBR237W	PRP5	mRNA splicing	18.7124	6.5135	13.2198	3.0392	13.7929	3.0252	14.3823	3.1132	23.042	5.7916	21.1059	6.1319
YBR238C	YBR238C	unknown	159.6273	8.3881	131.2091	8.2648	10.3392	4.3294	15.8155	4.1704	70.0786	7.7141	87.4453	8.0762
YBR239C	YBR239C	unknown	47.1192	7.3862	27.3886	6.9111	15.4044	3.5778	13.9882	3.7172	29.9249	6.8095	23.22	7.2459
YBR240C	THI2	thiamine biosynthesis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YBR241C	YBR241C	unknown	17.7923	5.8553	14.856	5.3612	74.251	5.8226	34.5047	5.7782	32.731	5.2327	67.258	5.5219
YBR242W	YBR242W	unknown	19.8868	6.2811	14.737	5.8195	6.0604	3.3534	10.9766	3.0834	15.9057	5.7681	12.984	3.0497
YBR243C	ALG7	protein glycosylation	66.2627	6.4453	38.1978	6.1465	26.0694	6.323	10.9817	3.2568	31.454	5.9043	12.4944	3.2241
YBR244W	GPX2	mitochondrial morphology; glutathione metabolism (putative)	107.8995	6.6279	64.8425	6.4362	15.2354	3.1627	16.2528	3.2523	26.825	6.0472	10.3283	3.3555
YBR245C	ISW1	unknown	16.4121	3.4188	10.073	3.2865	3.1394	4.312	5.6573	3.6419	10.484	3.2229	8.7243	3.3408
YBR246W	YBR246W	unknown	65.5074	6.5978	44.9379	6.3377	22.9361	6.4243	29.2542	6.6163	43.3553	6.0793	40.1826	6.3821
YBR247C	ENP1	protein glycosylation	46.012	6.2487	28.4668	5.8944	2.2791	4.5488	15.8501	6.1808	27.5977	5.7437	15.1028	3.0953
YBR248C	HIS7	histidine biosynthesis	33.0758	5.6648	18.2838	5.3066	4.3096	3.3416	8.8126	2.914	13.3098	2.7093	16.2487	5.5815
YBR249C	ARO4	aromatic amino acid biosynthesis	262.0346	6.3288	191.2142	6.299	22.1068	6.0978	108.4707	6.5365	163.3612	5.8909	78.5385	6.0734
YBR250W	YBR250W	unknown	11.2866	4.8929	7.136	4.8302	14.1036	4.1145	5.2569	5.0346	11.4411	4.2615	8.1771	4.4504
YBR251W	MRPS5	protein synthesis	31.586	5.8846	24.6823	5.5346	22.5366	5.7904	19.632	5.8584	29.4236	5.425	35.6948	5.7249
YBR252W	DUT1	pyrimidine metabolism	94.8372	5.4343	76.2813	5.3408	17.3365	5.239	31.842	5.4799	46.8456	5.0039	24.5993	5.2367
YBR253W	SRB6	transcription	12.3653	3.1271	8.6504	2.9551	6.2558	3.0963	5.4876	3.1986	9.4263	2.8737	9.1288	2.9405
YBR254C	TRS20	secretion (putative)	36.3781	6.3896	24.2354	5.9869	14.592	3.0845	13.9384	3.1865	27.1393	5.8912	19.9133	6.2757
YBR255C-A	YBR255C-A	unknown	7.4619	3.7105	8.4813	3.2266	12.5317	2.9946	21.0831	6.1479	32.2304	5.6913	27.8318	6.0117
YBR255W	YBR255W	unknown	15.9621	3.4528	13.2669	3.1575	12.0992	3.1685	15.6746	3.2145	19.9727	6.048	24.9826	6.3245
YBR256C	RIB5	flavin biosynthesis	26.0409	6.0666	18.2836	5.6492	25.5225	5.9548	36.8929	6.1475	54.512	5.6103	51.3307	5.8589
YBR257W	POP4	rRNA and tRNA processing	11.1864	4.1868	8.0519	3.9884	2.4457	5.4489	7.9278	3.9515	13.544	3.5759	8.2183	3.8408
YBR258C	SHG1	unknown	9.1322	3.1789	7.3483	2.9496	5.2859	3.1116	5.0765	3.1372	8.0271	2.8454	5.6127	2.984
YBR260C	RGD1	unknown	101.3114	7.0778	76.6979	6.9074	42.4077	7.0429	36.0242	7.1116	81.7302	6.5602	61.0019	6.8231
YBR261C	YBR261C	unknown	60.3951	5.1821	37.6356	4.9847	8.925	2.538	19.4172	5.1505	34.0132	4.7668	23.8429	5.0122
YBR262C	YBR262C	                          nuclear migration (sensu Saccharomyces)	11.7716	2.5725	20.0697	4.5316	25.1054	4.8121	32.3999	4.9372	41.9495	4.4883	24.3153	4.6936
YBR263W	SHM1	one-carbon interconversion	207.3169	6.4913	153.4289	6.4393	33.9129	6.3849	76.9702	6.659	116.0322	6.0198	105.9786	6.264
YBR264C	YPT10	unknown	12.3392	2.9404	8.1804	2.8015	7.2953	2.806	7.4591	2.851	11.8211	2.6279	11.3056	2.7311
YBR265W	TSC10	sphingolipid biosynthesis	77.327	5.7343	61.8198	5.5983	24.1213	5.6215	20.4542	5.6787	51.2224	5.2956	28.5971	5.5347
YBR266C	YBR266C	unknown	86.9451	7.8962	53.2056	7.573	8.7678	4.1961	32.8466	7.8886	61.3278	7.2893	33.2755	7.6482
YBR267W	YBR267W	unknown	84.083	5.618	50.0761	5.4394	4.2165	3.2829	27.0619	5.6304	43.0382	5.1695	25.0843	5.4218
YBR268W	MRPL37	protein synthesis	19.1628	5.0101	16.4695	4.6204	17.5476	4.8396	22.8153	4.9872	27.8495	4.5624	15.9845	4.8412
YBR269C	YBR269C	unknown	41.4319	5.6681	39.2178	5.4673	97.2147	5.8497	77.5294	5.9121	83.2343	5.3113	70.5262	5.5207
YBR270C	YBR270C	unknown	11.2971	3.8439	5.8932	3.9264	9.5536	3.4565	4.6021	4.0418	5.5573	3.7809	9.4032	3.5073
YBR271W	YBR271W	unknown	25.4804	6.3226	20.3316	5.8535	1.2937	5.4433	5.1444	3.5807	13.3016	3.0219	8.1272	3.2544
YBR272C	HSM3	mismatch repair	45.045	6.3868	27.3201	6.0046	32.226	6.3572	33.2823	6.4712	35.7571	5.8908	34.7245	6.2058
YBR273C	YBR273C	unknown	24.4886	5.9043	16.0651	5.5198	23.6769	5.7716	19.5767	5.8239	24.9177	5.39	27.4758	5.6986
YBR274W	CHK1	cell cycle	7.7543	4.1865	8.8439	3.6408	9.304	3.5273	5.0285	4.0283	5.9516	3.7932	11.2984	3.5007
YBR275C	RIF1	silencing	10.3593	4.1963	6.6726	4.1128	1.6062	6.1289	4.49	4.3783	10.5287	3.6611	7.7542	3.8215
YBR276C	PPS1	unknown	148.9543	6.9654	78.5315	6.7849	133.2879	7.1258	43.9752	7.0313	41.0652	6.3604	83.0422	6.7092
YBR277C	YBR277C	unknown	104.663	6.9392	64.4686	6.7294	16.2133	3.3125	25.9539	6.8798	36.6536	6.342	27.8834	6.7037
YBR278W	DPB3	DNA replication	10.3834	3.4446	6.951	3.3192	3.0645	4.0438	8.1741	3.1999	11.9247	2.9769	6.8525	3.2191
YBR279W	PAF1	transcription	66.4523	6.4028	50.2216	6.1874	34.872	6.3665	59.5282	6.586	67.9201	5.9454	70.0687	6.2028
YBR280C	YBR280C	unknown	37.969	5.981	32.978	5.7133	32.2366	5.9779	18.2582	5.9325	21.0035	5.5412	23.1866	5.8373
YBR281C	YBR281C	unknown	33.6881	6.9106	26.3146	6.4589	11.6832	3.4129	9.3921	3.61	22.9938	6.4073	14.1335	3.4585
YBR282W	MRPL27	protein synthesis	3.2127	4.3053	2.2569	4.317	4.9675	3.4809	4.8018	3.4771	6.7205	3.195	6.2499	3.2106
YBR283C	SSH1	secretion	324.1214	7.2555	240.3254	7.2297	74.9324	7.2935	84.3462	7.426	158.7028	6.7357	101.0375	6.9709
YBR284W	YBR284W	unknown	4.871	4.7597	4.1165	4.5046	5.8493	4.064	4.1233	4.3467	5.1096	4.0204	4.5915	3.9571
YBR285W	YBR285W	unknown	8.526	4.3257	6.7693	4.0713	33.5962	7.1221	10.3527	3.7212	14.2364	3.4924	14.3908	3.5999
YBR286W	APE3	protein degradation	846.315	7.2123	596.9931	7.222	465.1888	7.3643	296.3717	7.5158	382.8238	6.7519	528.6454	7.2553
YBR287W	YBR287W	unknown	43.0927	6.7155	38.1623	6.4243	26.5932	6.6163	20.1583	6.6572	30.4978	6.1831	30.5636	6.5415
YBR288C	APM3	vacuolar protein targeting	64.7829	7.0619	36.4581	6.6931	7.5232	3.7982	18.4804	6.9638	27.8452	6.4852	23.5267	6.8837
YBR289W	SNF5	transcription	31.1363	7.2141	19.9528	6.7522	14.5182	3.4776	16.5024	3.5604	24.1521	6.651	23.0401	7.0235
YBR290W	BSD2	transport	25.276	6.6117	17.4317	6.1617	16.2176	6.2807	22.4737	6.4973	35.0952	6.0156	34.5495	6.343
YBR291C	CTP1	transport	24.2533	6.0509	16.3845	5.6464	5.242	3.3969	10.286	3.0401	14.7611	5.6905	4.333	3.3134
YBR292C	YBR292C	unknown	NA	NA	NA	NA	NA	NA	NA	NA	8.9809	5.3494	NA	NA
YBR293W	YBR293W	unknown	13.1121	4.0577	6.9722	4.1053	8.5144	3.8404	7.5679	3.9699	9.2018	3.766	6.5439	3.9205
YBR294W	SUL1	transport	9.7303	3.7802	7.5272	3.5487	8.8279	3.3585	7.597	3.5077	12.0164	3.2151	9.699	3.3604
YBR295W	PCA1	transport	13.6979	3.2022	9.7578	3.008	7.9246	3.0664	8.1257	3.1135	13.4353	2.8561	8.2384	3.0786
YBR296C	PHO89	phosphate metabolism	43.1173	6.2767	33.4955	5.9793	NA	NA	60.3075	6.4927	57.7735	5.8423	0.8392	4.354
YBR297W	MAL33	maltose metabolism	11.4977	3.8368	19.0138	6.3952	67.7054	6.932	76.1919	7.0586	81.5292	6.3524	26.0314	6.6263
YBR298C	MAL31	transport	2.2804	4.4778	4.835	3.43	20.3541	5.7282	15.0622	5.799	13.5752	2.8006	7.429	3.0521
YBR299W	MAL32	maltose metabolism	3.9945	4.3383	1.3391	5.2488	14.4395	3.0445	8.1202	3.3322	7.1816	3.3316	3.3257	3.633
YBR300C	YBR300C	unknown	24.8543	7.6082	15.3594	3.603	24.0834	7.2225	23.4136	7.3553	28.0022	6.8424	23.6653	7.2632
YBR301W	DAN3	unknown	9.9269	4.2188	7.7957	3.9584	6.0199	4.1327	5.6653	4.1549	8.6136	3.7659	8.2212	3.7899
YCL001W-A	YCL001W-A	unknown	NA	NA	NA	NA	NA	NA	0.4023	9.4305	NA	NA	NA	NA
YCL002C	YCL002C	unknown	109.5696	7.8223	84.3603	7.6342	33.9025	7.6768	53.3524	7.9452	84.2304	7.2436	49.8387	7.5392
YCL003W	YCL003W	NA	23.0516	8.2252	13.2887	3.968	16.1589	3.8265	12.2385	4.0561	23.7858	7.375	24.1232	7.7475
YCL004W	PGS1	phospholipid metabolism	9.5168	4.7466	6.9778	4.549	8.6603	4.2371	7.4626	4.3937	13.2711	3.9268	12.1449	4.043
YCL005W	YCL005W	unknown	72.7238	6.5602	34.441	6.2112	29.5618	6.4643	24.0278	6.5166	45.5694	6.0436	30.5269	6.3477
YCL007C	CWH36	cell wall biogenesis	73.3751	7.1134	43.1515	6.7915	23.1476	6.8985	33.731	7.1501	67.731	6.5939	48.193	6.8768
YCL008C	STP22	vacuolar protein targeting	96.8881	7.1151	76.9607	6.9466	61.4331	7.1746	45.1932	7.2111	84.4258	6.6007	58.8789	6.8612
YCL009C	ILV6	isoleucine and valine biosynthesis	686.2529	6.0166	494.4386	6.0248	168.2875	6.1374	245.5211	6.2696	448.7237	5.6538	255.8942	5.9276
YCL010C	SGF29	unknown	19.7539	5.3224	14.2501	4.9429	11.5379	2.5288	9.8335	2.6372	19.0436	4.8436	9.0788	2.6574
YCL011C	GBP2	unknown	313.2817	5.3486	169.055	5.3193	84.1484	5.4225	90.8908	5.5148	153.6737	4.978	66.4298	5.1249
YCL014W	BUD3	cell polarity	23.6304	7.3445	17.5814	6.8016	22.4739	6.9498	28.3772	7.1641	21.8134	6.6693	17.1397	3.5457
YCL016C	DCC1	unknown	12.7766	3.3397	8.8361	3.1669	5.673	3.4221	5.962	3.3872	10.9518	3.019	7.2206	3.2122
YCL017C	NFS1	tRNA splicing	72.2393	6.1186	58.516	5.954	30.9344	6.0568	39.6355	6.2139	62.694	5.6707	52.6674	5.9095
YCL018W	LEU2	leucine biosynthesis	73.2421	6.0452	54.2218	5.866	23.9293	5.9145	24.1778	6.0235	30.9144	5.533	26.0402	5.8483
YCL020W	YCL020W	unknown	162.2208	9.2602	80.3435	8.9439	79.1561	9.314	102.095	9.5228	109.2448	8.5706	69.0386	8.9069
YCL021W-A	YCL021W-A	unknown	107.856	7.2098	85.9075	7.0572	54.2215	7.2313	57.2345	7.3548	76.1417	6.6702	49.7846	6.944
YCL022C	YCL022C	unknown	29.8574	6.8328	18.5101	6.4091	22.2134	6.6229	22.1475	6.7507	35.4551	6.2628	18.9971	6.6916
YCL023C	YCL023C	unknown	8.4384	4.1372	3.5624	4.5396	3.0436	4.7505	3.7418	4.3193	5.1228	3.9111	2.6227	4.139
YCL024W	KCC4	bud growth	15.4631	3.6999	9.1569	3.6063	5.6278	3.9587	10.1371	3.5468	19.0961	6.4481	9.2667	3.5541
YCL025C	AGP1	transport	21.4318	6.1168	17.4157	5.6311	13.6206	2.89	28.9473	6.06	39.9008	5.5507	44.8857	5.8255
YCL026C-A	YCL026C-A	negative regulation of fatty acid metabolism	10.9457	3.6825	3.4541	4.2547	2.1108	4.9225	NA	NA	NA	NA	NA	NA
YCL027C-A	YCL027C-A	unknown	19.5436	6.8888	14.3938	3.1969	29.1619	6.5533	15.9871	3.2822	26.0901	6.1036	10.6322	3.3782
YCL027W	FUS1	mating; cell fusion	43.7952	7.1938	31.157	6.7803	12.8666	3.5368	0.881	6.522	4.531	4.2044	13.337	3.6345
YCL028W	RNQ1	unknown	218.3795	6.4697	121.3019	6.381	88.1756	6.5572	74.0332	6.6288	118.4267	5.9998	120.5448	6.2568
YCL029C	BIK1	mating; mitosis	25.1872	6.4906	14.5945	3.0771	8.0526	3.3389	11.5426	3.2385	18.6803	6.0024	13.9478	3.1989
YCL030C	HIS4	histidine biosynthesis	109.5851	5.9622	86.8173	5.8637	12.4562	2.8534	9.3195	3.0237	23.1207	5.4394	51.6934	5.7351
YCL031C	RRP7	rRNA processing	127.9326	7.3679	54.8222	7.0695	35.9935	7.2572	34.8315	7.3692	59.7705	6.7776	60.2286	7.0889
YCL032W	STE50	signaling	12.4016	3.229	10.3068	2.9586	9.0852	2.9711	9.486	3.0299	17.4227	5.5409	13.4554	2.9472
YCL033C	YCL033C	unknown	10.3364	2.6843	11.2736	2.3623	17.887	4.8272	14.1735	4.8749	16.5252	4.569	15.2657	4.8297
YCL034W	LSB5	unknown	45.8594	5.2684	32.2575	5.0414	36.2654	5.2964	19.7741	5.2526	30.6093	4.8505	30.6224	5.1046
YCL035C	GRX1	oxidative stress response	49.266	6.0882	36.6965	5.826	69.1567	6.2204	53.5005	6.2692	60.8692	5.6634	92.894	5.9396
YCL036W	GFD2	unknown	5.0833	3.1704	3.2821	3.1599	NA	NA	1.9482	3.4505	5.8368	2.6759	3.23	2.8557
YCL037C	SRO9	cytoskeleton	552.0435	7.5837	295.8035	7.5603	35.4648	7.3968	108.8044	7.7861	217.5513	7.053	197.4386	7.3672
YCL038C	AUT4	unknown	18.0955	6.5432	11.6087	3.1014	17.4756	6.057	7.8536	3.3219	11.2059	3.0938	10.7304	3.1838
YCL039W	YCL039W	biological_process unknown	39.5016	7.0039	30.4544	6.6045	36.1548	6.9925	29.8258	7.0529	30.9536	6.455	29.745	6.8333
YCL040W	GLK1	glycolysis	87.1412	5.3765	69.943	5.2745	375.2833	5.5414	153.2394	5.6354	153.9313	5.0439	261.4229	5.3726
YCL043C	PDI1	protein folding	1328.2661	6.1446	828.7918	6.1458	425.2312	6.271	309.8705	6.4122	460.4754	5.7741	449.3615	6.1805
YCL044C	YCL044C	unknown	164.7869	7.7321	84.2926	7.5228	52.9117	7.7072	50.2923	7.8135	76.7752	7.1251	58.4058	7.4253
YCL046W	YCL046W	unknown	510.3302	5.3144	355.4684	5.3197	38.6859	5.2719	131.4993	5.5075	205.0172	4.9578	91.5315	5.1111
YCL047C	YCL047C	unknown	9.0975	3.8776	6.8613	3.6719	5.6919	3.7683	4.9749	3.8531	10.7114	3.3064	11.1322	3.3618
YCL048W	YCL048W	unknown	6.8436	4.3234	7.7567	3.7729	NA	NA	5.8753	3.9298	NA	NA	1.4019	4.521
YCL049C	YCL049C	unknown	45.8535	6.1373	31.4465	5.8276	40.9119	6.1735	32.4844	6.2178	30.0679	5.6429	21.6301	5.9884
YCL050C	APA1	purine metabolism	216.6142	7.6718	142.9052	7.5736	38.4649	7.5384	40.0614	7.6759	86.936	7.0706	83.8826	7.3683
YCL051W	LRE1	laminarase resistance	7.1647	4.2315	8.2776	3.6737	4.6216	4.1647	3.7807	4.2667	11.147	3.4196	9.4988	3.5373
YCL052C	PBN1	protein degradation	50.0743	6.6832	35.6886	6.3603	45.5933	6.7281	37.1155	6.783	61.7646	6.2145	60.7841	6.4894
YCL054W	SPB1	ribosome biogenesis	39.7164	5.7385	15.7638	5.4071	1.1823	4.9929	8.2642	2.9757	16.5049	5.3769	13.259	2.8522
YCL055W	KAR4	karyogamy	20.3376	7.5272	11.5721	3.6472	6.0018	4.1344	6.1643	4.0829	9.0885	3.733	12.7724	3.643
YCL056C	YCL056C	unknown	9.2394	3.5405	8.0178	3.2416	10.9635	3.0148	10.4502	3.1198	15.2464	5.8299	13.6571	3.0597
YCL057W	PRD1	protein degradation	194.9625	6.7612	142.4138	6.694	89.0532	6.8541	66.9435	6.9074	157.3421	6.2976	115.983	6.5345
YCL058C	FYV5	unknown	5.1892	6.1794	2.9095	6.5459	NA	NA	9.0089	4.8582	15.9316	4.3622	7.1042	4.8395
YCL059C	KRR1	unknown	37.7967	6.142	17.2273	5.7883	0.7217	6.4019	8.732	3.1961	12.9836	2.9708	13.1673	3.0717
YCL061C	MRC1	unknown	27.1028	6.9083	15.1014	3.2893	9.288	3.5	6.2474	3.8233	11.5451	3.393	13.2447	3.4335
YCL063W	YCL063W	unknown	64.4295	7.1729	56.355	6.9427	34.1848	7.1019	29.3879	7.1766	64.4129	6.6526	46.3529	6.9453
YCL064C	CHA1	hydroxy amino acid metabolism	227.8713	6.5252	155.1762	6.4705	96.6057	6.6237	173.6244	6.7954	184.1782	6.0865	168.6899	6.3576
YCL065W	YCL065W	unknown	22.0324	8.1217	20.1021	7.3585	14.2059	3.8044	12.8219	3.9613	19.4744	7.3702	21.2538	7.6579
YCL066W	HMLALPHA1	transcription	28.62	7.2411	24.3092	6.6912	21.0399	6.9355	15.7862	3.5627	23.1518	6.6573	28.3863	6.9803
YCL067C	MHLALPHA2	transcription	7.1812	4.7514	3.8268	4.9826	NA	NA	1.441	6.0869	3.2947	4.7063	3.8194	4.3581
YCL068C	YCL068C	unknown	14.4019	4.3618	8.83	4.2683	11.7003	3.9476	10.477	4.1065	14.1531	3.858	12.1758	4.0074
YCL069W	YCL069W	unknown	4.0975	4.6711	3.0062	4.6061	2.4838	4.9016	2.7201	4.5228	4.017	3.9751	3.789	3.8467
YCL073C	YCL073C	unknown	22.7443	6.8145	15.8891	6.3513	9.6525	3.3696	10.4863	3.4104	18.2867	6.2583	12.5986	3.351
YCL074W	YCL074W	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YCL075W	YCL075W	unknown	72.2689	7.4861	60.2381	7.2478	42.8666	7.4647	40.6258	7.5698	63.1599	6.9302	55.7516	7.2427
YCL076W	YCL076W	unknown	0.675	7.6493	0.8913	6.892	1.5129	6.2059	1.0116	6.267	1.2768	5.3235	NA	NA
YCR001W	YCR001W	unknown	NA	NA	NA	NA	6.3245	6.0323	NA	NA	NA	NA	3.029	6.0377
YCR002C	CDC10	cytokinesis	60.5027	6.8693	46.3544	6.604	36.5499	6.8356	27.2719	6.8649	42.6867	6.3315	37.524	6.6566
YCR003W	MRPL32	protein synthesis	37.065	6.9946	22.2093	6.5507	25.2916	6.8607	25.6474	6.993	43.8886	6.4744	38.6165	6.806
YCR004C	YCP4	unknown	219.6945	5.8502	156.8843	5.813	208.1617	5.9992	127.9138	6.0719	191.3868	5.4652	117.5749	5.6634
YCR005C	CIT2	glyoxylate cycle	128.9827	6.6575	104.7677	6.5599	144.1126	6.8281	151.261	6.9449	132.5039	6.2053	64.8034	6.4056
YCR006C	YCR006C	unknown	37.1457	5.843	24.2947	5.4911	19.9525	5.7127	24.2675	5.8732	38.1377	5.4116	31.8926	5.685
YCR007C	YCR007C	unknown	7.3459	4.4358	5.7864	4.2064	4.7277	4.375	6.4293	4.0171	12.4755	3.5378	10.4086	3.6786
YCR008W	SAT4	salt tolerance	81.4785	6.7613	67.7621	6.59	50.2711	6.7925	74.2472	6.976	108.7686	6.3094	70.6237	6.5371
YCR009C	RVS161	cytoskeleton	112.8761	6.4985	88.2254	6.3802	58.7965	6.548	76.2733	6.6939	91.4481	6.0315	153.9918	6.3485
YCR010C	ADY2	unknown	17.7393	5.9232	13.7514	5.4619	10.2985	2.8084	12.0719	2.8556	12.6688	2.7508	9.6675	2.9088
YCR011C	ADP1	transport	147.5469	6.4995	80.0487	6.3477	117.598	6.6403	65.2477	6.6535	89.5575	6.0178	81.9868	6.2619
YCR012W	PGK1	glycolysis	1642.2665	5.6022	1109.1511	5.5867	586.7101	5.6945	502.1157	5.8565	652.0764	5.2902	564.2169	5.7173
YCR013C	YCR013C	unknown	2762.5545	7.0039	1099.7253	7.0104	658.661	7.1393	475.2313	7.3307	689.4162	6.6118	539.2667	7.0725
YCR014C	POL4	DNA repair	5.1392	4.1078	1.4696	5.1147	2.108	4.7275	1.7758	4.6223	2.5	4.0124	5.3983	3.4264
YCR015C	YCR015C	unknown	42.539	6.9843	25.8604	6.5385	6.0832	3.9733	11.1722	3.5794	22.1369	6.5107	20.7664	6.8696
YCR016W	YCR016W	unknown	28.3068	6.3961	11.0964	3.1791	NA	NA	5.4759	3.6075	11.4057	3.1384	8.3067	3.3075
YCR017C	CWH43	 cell wall organization and biogenesis	63.3804	6.6305	48.4412	6.3925	23.8246	6.4702	32.8749	6.682	31.8421	6.0776	25.3119	6.4403
YCR019W	MAK32	dsRNA virus propagation	8.0798	3.5235	6.484	3.2927	7.9185	3.0868	6.0647	3.2896	8.622	3.0449	12.0496	3.0038
YCR020C	PET18	dsRNA virus propagation	2.5436	5.128	NA	NA	NA	NA	1.2361	5.4314	1.6854	4.6235	3.4224	3.8517
YCR020C-A	MAK31	mitochondrial DNA maintenance	40.6415	5.7968	18.121	5.4237	12.5112	2.7987	11.1654	2.9093	23.6795	5.3367	15.516	5.7167
YCR020W-B	HTL1	DNA replication and chromosome cycle	26.6973	7.3863	12.6092	3.6272	12.988	3.5628	11.1978	3.7307	13.5351	3.5601	9.3942	3.7744
YCR021C	HSP30	diauxic shift	15.7854	6.2167	29.7031	5.6063	8.4349	2.9983	20.9789	5.8881	29.4354	5.4359	100.6587	5.7828
YCR022C	YCR022C	unknown	22.8253	7.7679	15.3645	3.6472	NA	NA	1.3025	6.1958	9.8599	3.8617	6.6826	4.0484
YCR023C	YCR023C	unknown	14.694	3.6147	9.2515	3.4841	9.0585	3.4259	9.0899	3.4928	12.4304	3.2772	16.3422	3.3102
YCR024C	YCR024C	protein synthesis	41.8878	7.702	19.6329	7.315	35.6759	7.6503	31.5171	7.7405	41.9321	7.113	34.503	7.5082
YCR024C-A	PMP1	H+ homeostasis	420.0383	6.5552	280.599	6.5451	155.6674	6.685	192.102	6.8164	231.4071	6.1152	173.5483	6.3734
YCR025C	YCR025C	unknown	9.5347	3.9018	5.8351	3.8721	7.7186	3.5543	5.7916	3.7925	8.5742	3.4667	11.5351	3.3982
YCR026C	YCR026C	unknown	48.0003	6.3262	32.8783	6.0107	27.5624	6.2494	29.6856	6.3777	41.4991	5.8467	38.2567	6.1387
YCR027C	RHB1	unknown	20.5948	6.3799	16.8891	5.8575	9.7658	3.1032	14.2097	3.0843	23.6139	5.7303	16.5488	6.1283
YCR028C	FEN2	unknown	10.818	3.3383	7.1554	3.2157	12.4975	2.8934	12.8103	2.9797	12.5893	2.8894	6.9922	3.1399
YCR030C	YCR030C	unknown	78.0944	7.5308	59.5966	7.2804	36.9855	7.4549	42.4031	7.6198	79.6991	6.9926	64.5282	7.2832
YCR031C	RPS14A	protein synthesis	1585.1677	9.5947	883.0746	9.6064	161.5409	9.721	278.8625	9.9603	535.1226	8.9855	203.0687	9.2627
YCR033W	SNT1	unknown	39.7636	7.0226	25.4799	6.574	24.6201	6.8811	36.796	7.1316	49.3181	6.5177	55.8606	6.8349
YCR034W	FEN1	cell wall biogenesis	285.4857	7.6502	146.8891	7.5457	23.3676	7.3199	60.5011	7.7526	99.342	7.0542	41.6697	7.323
YCR035C	RRP43	rRNA processing	54.9565	6.2452	40.3463	5.9914	19.1349	6.0458	27.4927	6.269	27.3065	5.7285	30.0435	6.0569
YCR036W	RBK1	ribose metabolism	137.3289	5.8931	112.4097	5.8289	49.979	5.9128	52.114	6.0099	89.6567	5.4635	60.2285	5.6642
YCR037C	PHO87	transport	60.6692	6.8983	53.1817	6.6729	40.2274	6.8906	45.142	7.0299	51.8019	6.3798	53.0077	6.6814
YCR038C	BUD5	bud site selection	9.8435	5.0577	7.9912	4.7377	6.4117	4.9201	6.5734	4.8343	10.6554	4.3373	7.8266	4.5004
YCR039C	MATALPHA2	transcription	7.9167	4.6588	6.493	4.3719	4.1621	4.8592	5.995	4.3433	6.7113	4.1418	5.7974	4.1433
YCR040W	MATALPHA1	transcription	1.6731	6.1516	NA	NA	1.1288	6.7838	0.5793	7.2288	1.4465	5.1782	0.5611	5.3784
YCR041W	YCR041W	unknown	2.9346	5.6976	2.4526	5.5243	0.9269	7.6378	1.4064	6.0507	2.3873	4.944	2.0566	4.6783
YCR042C	TSM1	transcription	29.1628	6.3542	4.1368	3.9267	7.3861	3.352	2.77	4.1668	12.1684	3.095	11.4303	3.2018
YCR043C	YCR043C	unknown	46.606	5.9831	31.0081	5.6821	9.0489	3.0027	17.3009	5.9128	26.6708	5.4956	18.9048	5.8532
YCR044C	PER1	protein processing (putative)	57.2119	6.3959	39.6574	6.1225	27.2575	6.3	14.4603	3.1672	28.444	5.8652	21.6143	6.2339
YCR045C	YCR045C	unknown	101.6704	5.6188	47.1675	5.4179	53.9857	5.6697	52.2207	5.7496	85.0381	5.2191	65.0248	5.4176
YCR046C	IMG1	protein synthesis	81.2933	5.2597	50.1816	5.105	65.4073	5.3504	51.9908	5.3988	85.4342	4.8974	62.3519	5.0797
YCR047C	BUD23	unknown	19.3026	4.2503	13.7605	3.9597	2.2763	2.7494	6.3854	2.1831	10.8805	4.0077	8.9052	2.1177
YCR048W	ARE1	sterol metabolism	64.2836	5.3953	58.0881	5.2733	42.3563	5.4308	44.8737	5.5236	52.2043	4.9952	31.4113	5.2096
YCR049C	YCR049C	unknown	48.385	5.7355	34.4536	5.485	12.5796	2.7605	12.2382	2.8508	22.6339	5.2722	28.1176	5.5645
YCR050C	YCR050C	mitochondrial function (putative)	26.8362	5.9781	20.1154	5.5632	7.7926	3.0746	6.6075	3.2168	13.4398	2.8542	9.628	3.0355
