# S. cerevisiae transcriptome, from Holstege et al., Cell 95:717-728, 1998.
#
# orf: the open reading frame
# expr: the expression level
# hl: half life
# tfreq: transcriptional frequency
orf	expr	hl	tfreq
YJR090C	0.4	18	0.9
YBR121C	8.6	15	20.8
YMR189W	1.3	17	2.9
YDR108W	0.6	12	1.7
YJL101C	1	17	2.2
YOL049W	3	17	6.6
YLR293C	11.9	18	24.6
YOR185C	1.2	27	1.7
YOR057W	0.4	15	1.2
YFR015C	0.1	NA	NA
YLR258W	1.2	42	1
YML121W	1.3	17	2.8
YGL181W	1.1	35	1.2
YMR217W	8.1	12	24.1
YLR289W	0.3	23	0.6
YDR454C	9.9	19	19.7
YHL032C	0.4	14	1.1
YIL155C	0.8	NA	NA
YOR070C	0.2	23	0.4
YJL044C	0.4	15	1
YDL234C	0.6	116	0.2
YJL110C	0.6	27	0.7
YFL031W	4	15	10.2
YJR025C	2.1	9	9
YPR005C	0.2	23	0.4
YOL064C	1.3	11	4.7
YJL165C	0.4	20	0.8
YJR069C	1.8	13	5.2
YLR256W	1.1	15	2.7
YGL237C	0.6	26	0.8
YBL021C	0.7	12	2.1
YKL109W	1	29	1.3
YOR358W	NA	37	NA
YMR290C	1.8	9	7.2
YPL001W	0.9	22	1.4
YEL056W	1.5	14	4
YKR084C	1.3	15	3.3
YJL033W	0.4	8	2.1
YCR065W	0.7	23	1
YKL017C	0.2	NA	NA
YGL003C	0.3	NA	NA
YNL021W	0.7	13	2
YMR284W	0.3	23	0.5
YMR106C	0.1	NA	NA
YBR138C	0.1	NA	NA
YDR232W	1.7	12	5.1
YDR047W	1.5	12	4.4
YDR044W	1.2	11	4.1
YER014W	0.4	15	1.1
YOR176W	2	12	6.3
YGL040C	2.7	16	6.1
YDL205C	0.3	NA	NA
YOR278W	0.6	18	1.1
YOR237W	0.1	15	0.4
YDL013W	0.3	21	0.5
YPL254W	0.6	10	2.1
YGL251C	0.1	NA	NA
YGR187C	2.2	8	10.2
YBR009C	17.3	17	38
YNL030W	23.9	14	65.3
YPL127C	1.6	10	5.8
YBR010W	45.5	16	103.3
YNL031C	37.6	12	111.7
YLL022C	1.1	11	3.7
YER057C	3.1	19	6.3
YGR191W	5.2	14	13.7
YBL008W	0.3	14	0.9
YOR038C	0.4	12	1.2
YJR140C	0.4	NA	NA
YER055C	11.7	11	40.8
YFR025C	0.3	9	1.2
YOR202W	1.1	22	1.8
YCL030C	5.1	20	9.4
YIL116W	1.5	20	2.7
YIL020C	1.2	14	3.2
YBR248C	1.6	12	4.7
YJR055W	0.4	9	2.1
YDR420W	0.4	19	0.8
YMR161W	1.1	29	1.5
YML075C	1.5	12	4.7
YLR450W	0.4	40	0.4
YML126C	9.3	13	25.7
YDR174W	3.3	14	8.4
YOR032C	NA	19	NA
YJR147W	0.3	10	1.3
YBR034C	3.4	14	9.3
YGL077C	2.1	15	5.4
YDL125C	9.1	20.5	16.4
YDR305C	0.7	18	1.3
YDL227C	1.1	10	4.2
YJR075W	1.6	16	3.6
YLR113W	4.5	23	7.2
YNR055C	1.7	17	3.8
YDR158W	9.2	17	19.9
YER052C	1.9	29	2.4
YJR139C	5.9	17	12.9
YIL072W	NA	41	NA
YGL033W	NA	20	NA
YER062C	2.1	12	6.4
YMR251W	29.1	21	52.2
YPR068C	0.2	9	0.8
YGL194C	0.2	15	0.5
YPL116W	0.2	18	0.4
YPL086C	2	9	8.8
YPR193C	NA	NA	NA
YEL066W	0.4	10	1.8
YBR215W	0.4	18	0.8
YDR138W	0.3	24	0.6
YJL092W	0.6	14	1.6
YDR399W	10.4	10	38.2
YNL004W	1.5	13	4.2
YOL013C	0.2	26	0.4
YLR207W	0.3	45	0.3
YPL204W	1.5	19	2.9
YMR027W	1.1	25	1.6
YMR186W	7.9	15	19.6
YGL073W	0.6	20	1
YOR319W	0.8	12	2.3
YKL101W	0.6	37	0.6
YBR133C	1.3	17	2.9
YBR272C	0.4	23	0.7
YHR127W	0.8	10	3.1
YOR020C	12.1	19	23.4
YLL026W	4.9	44	4.2
YFL014W	3.4	25	4.9
YJL159W	10.9	22	18.5
YBR072W	0.3	NA	NA
YCR021C	0.3	NA	NA
YDR171W	1	NA	NA
YLR259C	9.9	19	19.8
YDR258C	0.8	58	0.5
YPL240C	1.3	34	1.5
YOL068C	2.2	20	4.3
YPL015C	0.7	13	1.9
YOR025W	0.3	14	0.9
YDR191W	0.4	16	1
YDR225W	29.1	13.5	79
YBL003C	24.5	13	69.3
YOL012C	1.6	12	4.8
YDR224C	21.2	12	63.7
YBL002W	8.4	11	28.9
YPR033C	5.8	15	14.8
YJR006W	0.4	24	0.7
YER039C	0.2	NA	NA
YFR053C	3.7	23	5.8
YGL253W	19.3	10	71.9
YHR094C	11.2	10	41
YFL011W	NA	14	NA
YOL156W	NA	11	NA
YIL171W	0.4	18	0.8
YEL069C	NA	NA	NA
YNL318C	NA	NA	NA
YDL245C	NA	NA	NA
YJR158W	NA	37	NA
YNR072W	NA	14	NA
YMR011W	7	21	12.4
YDR345C	12.9	13	37.5
YHR092C	3.1	11	10.6
YHR096C	NA	NA	NA
YDR343C	11.1	22	18.9
YDR342C	9.9	24	15.1
YJL214W	0.2	12	0.8
YJL219W	NA	13	NA
YKL189W	0.6	16	1.4
YIR037W	5.6	18	11.6
YOR126C	0.3	17	0.8
YER065C	0.2	13	0.6
YPR006C	0.4	10	1.7
YNL037C	2	19	4
YOR136W	5.6	20	10.4
YPL117C	4.2	12	13.3
YDL066W	2.5	20	4.6
YLR174W	NA	NA	NA
YNL009W	0.2	22	0.4
YJL146W	0.2	NA	NA
YLR223C	1	24	1.6
YOL023W	0.2	34	0.2
YHR187W	1.1	14	2.9
YLR384C	1.6	15	3.7
YJL057C	0.6	28	0.8
YBL076C	5.8	15	14.4
YER086W	2.6	16	6.1
YMR108W	3.7	17	7.9
YJR016C	2.5	13	7.2
YLR355C	14.3	11	48.5
YCL009C	2.9	50	2.1
YJR094C	NA	NA	NA
YJL106W	0.1	15	0.3
YGL192W	NA	NA	NA
YCR071C	0.7	27	1
YLR309C	1	23	1.5
YMR150C	1.5	16	3.4
YMR035W	0.6	12	1.7
YDL181W	1.2	10	4.5
YJL153C	NA	24	NA
YDR123C	0.3	15	0.9
YOL108C	0.7	16	1.5
YIL002C	0.6	16	1.3
YNL106C	0.3	19	0.7
YOR109W	0.8	24	1.2
YOL065C	0.3	30	0.4
YPL209C	0.1	NA	NA
YBR011C	12.3	36	12.7
YDR072C	2.8	16	6.6
YPL242C	0.8	30	0.9
YBR140C	0.8	NA	NA
YOL081W	0.9	47	0.7
YHR079C	0.3	10	1
YIL026C	0.4	17	0.9
YKR019C	0.1	21	0.2
YER180C	0.2	13	0.8
YPL040C	0.2	11	0.8
YPR106W	0.4	26	0.7
YBR245C	0.6	14	1.4
YOR304W	0.8	17	1.6
YDR497C	5.2	9	20.2
YOL103W	2.5	13	7.3
YKL032C	0.6	NA	NA
YKL078W	0.8	14	2
YGL018C	NA	NA	NA
YJL073W	0.4	22	0.7
YKL217W	0.3	16	0.8
YMR294W	0.4	15	1.2
YJR091C	0.7	25	1.1
YBR017C	0.8	16	1.9
YMR308C	6.1	14	15.8
YER110C	1.9	13	5.4
YLR347C	1.1	21	2.1
YNL188W	1	10	3.4
YJL034W	13.4	20	24.7
YPR141C	0.3	15	0.8
YCL055W	1.3	16	3.3
YMR065W	0.3	23	0.5
YPL269W	NA	NA	NA
YDR017C	1.2	12	4
YHR158C	0.6	16	1.2
YGR238C	0.2	NA	NA
YPL263C	1.5	12	4.5
YGL173C	2.9	18	6
YPL145C	1.7	15	4.2
YGL203C	0.8	26	1.1
YNL238W	1	21	1.8
YIL125W	0.9	29	1.1
YDR148C	0.8	21	1.3
YLL002W	0.3	23	0.6
YPR164W	0.2	15	0.6
YHR038W	0.6	19	1
YDR122W	NA	18	NA
YLR096W	0.7	17	1.4
YDL108W	0.7	15	1.7
YAR018C	0.7	NA	NA
YOR233W	0.7	10	2.4
YCR091W	0.1	NA	NA
YBL063W	0.3	NA	NA
YPL155C	0.3	14	1
YGL216W	0.6	14	1.5
YKL168C	0.7	13	1.8
YDL049C	NA	19	NA
YGR229C	3.3	13	9.5
YLL019C	0.6	14	1.5
YNL322C	5.6	20	10.4
YGR166W	0.4	NA	NA
YDR483W	5.1	18	10.6
YOR336W	0.7	17	1.5
YPR159W	2.2	20	4.2
YJL174W	4	26	5.7
YCL059C	1.9	12	5.8
YDR037W	8.1	16	18.2
YHR082C	0.9	21	1.6
YGR040W	0.3	11	1.2
YKL110C	1.2	16	2.8
YOR099W	6.1	16	14.1
YKR061W	0.6	21	1.1
YBR205W	1.6	14	4.1
YBR199W	2.2	45	1.9
YNL029C	0.6	17	1.3
YPL053C	1.7	22	2.8
YIL085C	1.6	16	3.5
YHL003C	2.9	10	10.5
YOL025W	0.2	12	0.6
YNL239W	1.3	21	2.5
YKL103C	0.2	24	0.4
YKR063C	0.3	13	0.9
YOR181W	0.4	NA	NA
YNL071W	4	20	7.5
YKR053C	0.2	32	0.3
YMR296C	3.4	14	9.1
YDR062W	4.9	12	15.7
YJL134W	1.5	11	5.1
YOR171C	0.7	21	1.2
YLR260W	0.6	54	0.4
YER127W	2	9	8.1
YPL054W	NA	NA	NA
YOR123C	1.7	16	3.8
YGL009C	3	14	7.9
YCL018W	3.3	10	11.7
YLR451W	0.4	13	1.3
YNL104C	3.6	17	7.7
YDL051W	4.4	11	15
YKL073W	0.8	12	2.5
YOR196C	1.5	17	3.3
YKL205W	1	13	3.1
YFL018C	2.5	22	4.2
YDR503C	0.6	15	1.5
YCL051W	0.2	NA	NA
YDL240W	0.2	14	0.7
YDR439W	0.2	23	0.4
YOR142W	1.3	25	2.1
YGR244C	1.5	16	3.5
YGR057C	1.2	20	2.2
YNL006W	2	28	2.8
YAL024C	0.2	15	0.4
YPR073C	1.2	20	2.3
YKL143W	0.7	15	1.6
YNL268W	5.4	15	13.5
YIR034C	1.3	19	2.7
YIL094C	4	12	12.3
YDR034C	0.4	18	1
YBR115C	2.1	19	4.1
YDL182W	4.8	11	16.8
YDL131W	3	12	9.6
YDR234W	2.7	16	6.3
YGL154C	0.3	18	0.7
YMR038C	2.6	12	8.5
YNR050C	3.7	13	10.7
YMR021C	0.7	17	1.4
YGL086W	0.7	28	1
YJL030W	1	15	2.4
YJL013C	0.2	16	0.4
YDR005C	0.8	17	1.7
YER142C	0.3	14	0.9
YEL053C	0.2	NA	NA
YKL021C	1.8	11	6.1
YAL025C	2.5	10	9.6
YPR051W	1.8	16	4.1
YCR020C	1.2	36	1.3
YCR019W	0.4	19	0.8
YBR142W	2.6	13	7.5
YGR292W	NA	19	NA
YGR288W	0.1	NA	NA
YBR298C	0.3	NA	NA
YBR299W	NA	23	NA
YBR297W	0.2	36	0.2
YIL070C	1.8	17	4.1
YLR244C	3.7	15	9.2
YBL091C	3.5	20	6.4
YLR163C	0.4	26	0.6
YHR024C	1.2	20	2.3
YCR040W	NA	NA	NA
YCR039C	2.5	102	0.9
YBR185C	1.3	13	3.7
YDL056W	0.7	24	1.1
YKL093W	0.1	NA	NA
YMR081C	NA	14	NA
YDL003W	1.3	10	4.7
YKL165C	1.9	10	7.4
YNL307C	2.2	24	3.4
YMR043W	1.6	14	4.2
YPR046W	0.7	22	1.2
YBL023C	0.3	19	0.7
YDR318W	0.6	17	1.2
YJR135C	0.1	14	0.3
YEL032W	0.8	9	3
YGL201C	0.4	15	1
YKL150W	1.8	34	2
YNL173C	0.3	12	1.1
YKL085W	4.8	16	11.6
YOL126C	2.8	14	7.4
YDL078C	3.3	12	10.2
YFL016C	1.6	46	1.3
YNL328C	0.2	12	0.7
YLR188W	1.3	13	4.1
YPL270W	0.6	22	0.9
YML104C	0.3	12	1
YAL010C	0.3	12	1.1
YOL009C	0.6	19	1.1
YGR100W	0.3	14	0.9
YMR139W	0.4	51	0.3
YGL197W	0.4	25	0.7
YBR136W	0.2	40	0.3
YLR288C	0.2	22	0.4
YDL005C	0.8	18	1.5
YOR174W	0.9	14	2.4
YHR058C	0.7	20	1.3
YOL135C	0.3	14	0.8
YBR193C	0.3	20	0.6
YLR069C	1.8	22	3
YJL102W	0.4	31	0.5
YBR247C	1.3	10	5.3
YER044C	NA	14	NA
YPL121C	NA	11	NA
YOR351C	NA	NA	NA
YGR121C	0.6	14	1.4
YNL142W	0.4	14	1.2
YPR138C	1.8	12	5.6
YNL210W	0.1	16	0.2
YJR021C	0.3	34	0.3
YGR264C	3.3	16	7.5
YKR069W	0.6	36	0.6
YFR030W	0.4	42	0.4
YPL023C	1.2	15	3
YGL125W	0.3	21	0.6
YKL001C	1.3	12	4.1
YPR167C	0.3	20	0.5
YLR303W	3.8	10	14.3
YIL128W	0.4	15	1.2
YNL277W	0.2	20	0.4
YIR017C	NA	NA	NA
YJR010W	0.2	NA	NA
YIL046W	1	19	1.9
YPL038W	0.8	13	2.4
YDR253C	0.2	NA	NA
YNL103W	0.6	20	1.1
YER091C	3.5	11	11.5
YBR213W	0.2	9	0.9
YLR017W	2.9	12	9
YPL169C	1.6	28	2
YDR461W	14.4	6	84.4
YNL145W	36	5	282.7
YPL187W	NA	20	NA
YGL089C	NA	16	NA
YML062C	0.6	13	1.6
YGR249W	NA	15	NA
YIR033W	0.2	14	0.7
YOR232W	3.6	14	9.8
YOR211C	0.4	24	0.7
YJR144W	2.1	12	6.3
YDL200C	1.3	14	3.5
YJL042W	1.5	18	2.9
YNL291C	1.1	14	3
YLR332W	0.8	26	1.2
YKL089W	0.4	20	0.8
YGL035C	1.2	16	2.8
YGL209W	2.7	16	6.3
YMR036C	0.2	18	0.5
YOR330C	0.4	13	1.4
YHR015W	NA	9	NA
YJR077C	6.2	16	13.8
YBR084W	4	11	13.5
YOR231W	0.8	21	1.5
YPL140C	0.3	18	0.8
YNL076W	0.6	18	1.2
YNL085W	1.9	17	4.2
YGL106W	5.7	18	11.9
YMR167W	0.2	19	0.5
YKR095W	0.7	23	1
YNL117W	NA	18	NA
YIL051C	15.9	13	43.9
YLL006W	0.4	27	0.6
YGL087C	1.7	35	1.8
YEL019C	NA	NA	NA
YMR177W	0.9	16	2.1
YPL224C	0.9	21	1.5
YOR350C	0.2	16	0.5
YER001W	1.6	11	5.6
YDR245W	2.6	13	7.5
YJL183W	1.5	13	4.1
YKL200C	0.3	18	0.6
YPL050C	3.5	11	12.3
YKL064W	0.3	24	0.6
YJR131W	0.3	12	1.2
YIL106W	1	23	1.5
YFL035C	0.6	21	1
YOR274W	0.6	16	1.3
YGR144W	0.7	28	0.9
YPL082C	0.9	17	2
YMR070W	0.6	10	2.2
YNL249C	0.3	22	0.6
YOR288C	0.8	11	2.8
YOL088C	1	14	2.5
YJR002W	0.9	10	3.5
YDL028C	0.4	23	0.7
YMR005W	1.3	16	3.2
YLR150W	19.1	15	47.5
YGL178W	1	NA	NA
YGL249W	NA	13	NA
YMR224C	0.1	NA	NA
YGL143C	0.3	22	0.6
YDL079C	0.1	18	0.3
YDR347W	1.5	15	3.8
YGR084C	1.9	21	3.4
YKL003C	1.6	19	3.1
YPR166C	1.9	12	5.8
YDR405W	0.6	19	1.1
YBL090W	1.1	16	2.6
YHL004W	0.4	13	1.3
YKL167C	1.2	15	3
YPL118W	1.5	17	3.2
YKL142W	1.5	37	1.5
YNL284C	1.5	17	3.1
YDL202W	0.9	21	1.6
YKR006C	1.9	17	4.2
YBL038W	1.9	28	2.5
YNL252C	0.9	16	2.1
YNL185C	0.7	16	1.7
YNL005C	1.6	17	3.5
YKR085C	2.5	13	7.2
YOR150W	1.6	17	3.4
YMR193W	0.4	17	1
YGR076C	1.7	16	4.1
YBR282W	1.9	21	3.4
YDR462W	0.6	20	1
YMR024W	0.8	19	1.6
YKL138C	1	14	2.7
YCR003W	1.3	36	1.4
YMR286W	2.9	20	5.5
YDR322W	0.9	12	2.7
YBR122C	1	24	1.6
YBR268W	1.7	10	6.1
YKL170W	1.7	13	4.8
YML009C	3	16	6.7
YLR439W	0.4	17	0.9
YPL173W	1	18	1.9
YMR225C	1	14	2.6
YJL096W	1.2	13	3.7
YHR147C	1.5	16	3.5
YDR237W	1.5	16	3.3
YJL063C	1	12	3.3
YGR220C	1.6	17	3.4
YDR337W	1	17	2.1
YBR251W	0.6	13	1.6
YBR146W	2.1	19	4.2
YIR021W	0.7	19	1.4
YOR334W	0.2	14	0.7
YJL133W	1.3	11	4.2
YKR052C	0.7	18	1.3
YBR091C	1.2	23	2
YKL009W	11.2	14	29
YOR188W	0.6	10	1.8
YGR014W	0.7	11	2.2
YNL293W	0.3	28	0.4
YOL112W	0.8	16	1.9
YPL104W	0.6	17	1.2
YOL033W	0.4	14	1.3
YPR047W	0.3	29	0.4
YNL053W	0.6	15	1.5
YHR120W	0.3	12	0.9
YOL090W	0.9	22	1.4
YCR092C	0.3	29	0.4
YFL003C	NA	NA	NA
YDL154W	0.2	NA	NA
YDR097C	0.8	11	2.8
YBR195C	0.6	17	1.4
YOR370C	1.8	16	4.2
YNL073W	0.3	15	0.8
YIR009W	0.2	16	0.4
YLR116W	0.4	17	0.9
YGR171C	0.6	15	1.5
YOL116W	0.2	42	0.2
YMR037C	0.3	NA	NA
YKL062W	1.1	15	2.7
YDR335W	1.6	18	3.1
YNR049C	0.4	18	0.9
YGR028W	0.7	12	2.1
YHR091C	0.8	15	1.9
YER042W	2.4	16	5.6
YMR023C	0.4	14	1.3
YMR164C	0.3	22	0.6
YDR194C	2.5	20	4.5
YPR134W	0.3	15	0.9
YDL107W	0.2	17	0.5
YDR208W	0.8	13	2.3
YLR203C	1.6	18	3.2
YKL194C	0.2	14	0.6
YMR287C	0.2	15	0.5
YDR268W	0.2	15	0.6
YPL097W	0.7	15	1.6
YKR080W	3.6	18	7.5
YMR228W	0.6	14	1.5
YDR277C	0.3	18	0.7
YOR160W	0.9	13	2.6
YKL186C	1.7	15	4
YGR158C	1.6	16	3.7
YJL050W	0.7	9	2.8
YMR100W	0.8	22	1.4
YBR119W	0.4	14	1.1
YPL178W	2.4	22	4.1
YKL074C	1	14	2.8
YBR057C	0.3	NA	NA
YGR055W	2.8	17	6
YHL036W	0.4	30	0.5
YGR007W	2.2	17	4.8
YMR004W	0.3	21	0.5
YHR023W	0.6	17	1.3
YOR326W	2.4	27	3.3
YKL129C	0.2	NA	NA
YAL029C	1	18	2.1
YMR109W	0.4	NA	NA
YGL122C	3.1	20	5.9
YPL190C	0.8	24	1.2
YOL123W	3.8	18	8
YDL044C	0.3	19	0.8
YLR382C	0.3	21	0.6
YMR080C	1.3	16	3.1
YHR086W	0.9	NA	NA
YNL137C	1.1	15	2.7
YKR048C	3.6	27	5
YDL040C	2	13	6.1
YGR147C	1.3	18	2.8
YHR090C	0.3	43	0.3
YLR457C	0.2	23	0.3
YDR162C	0.8	24	1.2
YGL091C	1.1	24	1.8
YMR064W	0.3	20	0.6
YPR155C	0.3	16	0.8
YJL116C	0.3	20	0.7
YDR397C	1.8	9	8
YPR149W	15.5	34	16.9
YNL036W	1.9	NA	NA
YPL024W	1.5	16	3.3
YHR042W	2.8	13	7.7
YPL006W	0.7	20	1.1
YML031W	0.7	17	1.4
YML120C	0.4	NA	NA
YOL104C	0.1	NA	NA
YHR124W	NA	13	NA
YIL048W	1.3	15	3.4
YOR156C	0.1	NA	NA
YCL017C	2	57	1.3
YDR176W	0.7	11	2.3
YBR212W	0.4	99	0.2
YLR138W	0.7	18	1.4
YDL002C	1.1	15	2.9
YDL208W	13.4	11	43.1
YPR052C	4	11	13.8
YDR456W	0.6	18	1.2
YFR002W	0.8	20	1.4
YGL221C	4.2	17	9
YPL174C	0.1	18	0.3
YPL124W	0.3	16	0.6
YPL211W	4.5	10	16.2
YIL164C	0.4	17	0.9
YJL126W	1	15	2.4
YLR351C	2	18	4.1
YHR077C	0.8	21	1.4
YHR170W	5.2	11	17.6
YLR363C	0.3	23	0.6
YJR132W	0.8	16	1.8
YLR195C	1.3	16	3.3
YJR112W	0.9	11	3
YDL014W	15.2	11	51.1
YNL061W	2.1	12	6.7
YPL043W	1.9	13	5.8
YOR310C	12.2	14	32.7
YLR197W	7.3	12	22.8
YIL038C	2	18	4.1
YDR432W	3.1	14	8.1
YBR170C	0.6	36	0.6
YMR091C	1.8	16	4.1
YNL183C	0.3	22	0.6
YEL062W	0.2	19	0.4
YOR209C	2.5	16	5.7
YNL251C	0.6	19	1
YHR102W	0.6	21	1
YDL167C	0.6	11	1.7
YJL041W	1.1	15	2.9
YGR159C	12.2	10	43.4
YJR062C	0.4	24	0.7
YBR188C	0.6	14	1.4
YER009W	12.1	19	23.1
YAL015C	0.7	31	0.8
YOL043C	0.6	17	1.3
YDR001C	1.5	40	1.4
YBR001C	0.4	14	1.3
YJL208C	0.9	12	2.8
YKR056W	1.2	16	3
YOR373W	0.4	14	1.3
YDR356W	0.2	26	0.3
YOL069W	NA	NA	NA
YDR150W	0.6	48	0.4
YOR098C	1.2	12	4
YKL068W	1.2	13	3.7
YMR047C	1.6	18	3.2
YKL057C	0.7	13	1.8
YKR082W	1.6	24	2.5
YGL092W	0.8	13	2.2
YER105C	0.8	23	1.2
YIL115C	0.9	15	2.3
YBL079W	1.1	16	2.7
YML103C	0.8	20	1.5
YLR335W	1.3	14	3.7
YDR192C	0.2	18	0.5
YGL172W	1.9	16	4.4
YGR119C	1	16	2.3
YJL061W	1.1	13	3
YDL116W	1.1	15	2.8
YJR042W	1.2	20	2.2
YGL151W	0.9	22	1.4
YPR168W	NA	NA	NA
YLR093C	1.1	23	1.7
YAL051W	0.6	15	1.4
YGL038C	0.6	17	1.1
YML060W	0.7	11	2.2
YGL055W	11.2	12	33.6
YIL136W	0.4	38	0.5
YHL020C	1.2	17	2.7
YJR073C	1.7	20	3.2
YBR129C	0.9	20	1.6
YPR075C	0.4	29	0.6
YML065W	0.7	19	1.3
YBR060C	0.4	21	0.8
YLL004W	0.9	11	3
YPR162C	0.4	19	0.9
YNL261W	0.7	20	1.3
YHR118C	0.2	NA	NA
YGR038W	2.8	19	5.6
YAR044W	0.3	17	0.8
YJR051W	0.4	13	1.4
YJL002C	4.5	19	8.6
YOR103C	3.6	17	7.9
YOR085W	1.5	17	3.2
YDL232W	5.6	17	12.5
YML019W	1.3	10	5
YER154W	2.2	11	7.3
YHR179W	13.6	16	31.9
YPL171C	0.1	23	0.3
YER165W	5.3	14	14.3
YOR269W	0.6	19	1.2
YGR078C	1	11	3.5
YDR488C	0.1	10	0.5
YER007W	0.2	13	0.7
YDR538W	0.7	NA	NA
YBR279W	1.8	22	3
YMR174C	0.3	18	0.7
YER129W	0.2	25	0.3
YDR251W	1.1	15	2.7
YIR006C	1.8	14	4.9
YGL094C	0.7	15	1.8
YKL025C	0.6	20	0.9
YKR002W	1.2	15	3
YCR077C	2	28	2.6
YJL223C	1.5	21	2.6
YEL049W	0.8	26	1.1
YCR104W	3.6	25	5.4
YLR461W	1	22	1.7
YFL020C	0.6	32	0.7
YNR076W	1.6	21	2.8
YAR020C	6.1	20	11.5
YNL015W	3.3	11	11
YCL052C	0.9	74	0.5
YGR178C	2.1	34	2.3
YJL128C	0.9	12	2.8
YBR295W	0.3	27	0.4
YDR228C	1	22	1.8
YDR440W	0.4	9	2.1
YBR186W	NA	12	NA
YKR097W	0.1	30	0.2
YNL289W	0.8	12	2.4
YGL134W	0.4	NA	NA
YDL127W	0.2	14	0.5
YHR071W	0.9	29	1.2
YER059W	0.6	16	1.3
YIL050W	0.4	20	0.9
YPL219W	0.2	16	0.5
YDL179W	0.8	15	2
YEL058W	3.1	15	7.8
YGR202C	0.4	18	0.8
YER178W	7.3	21	12.7
YBR221C	8.5	24	13
YLR044C	43.7	16	103.2
YDR081C	0.2	NA	NA
YLR134W	0.9	16	2.1
YGR087C	NA	15	NA
YGL248W	0.9	20	1.7
YOR360C	2.4	23	3.8
YCL043C	6.7	21	11.6
YGL013C	0.9	17	1.9
YOR328W	0.4	14	1.2
YIL013C	0.4	22	0.8
YPL058C	1.1	32	1.3
YHR064C	11	19	21
YDR406W	0.4	11	1.6
YBL005W	0.3	20	0.7
YOR153W	12	14	30.6
YGL016W	0.9	NA	NA
YDR113C	0.3	15	0.8
YGR193C	0.9	16	2.3
YBR035C	2.7	21	4.6
YER149C	0.6	12	1.6
YCL003W	0.1	NA	NA
YBL017C	1.3	16	3
YHR012W	1.8	16	4.2
YOR036W	0.4	25	0.7
YLR148W	0.4	15	1
YPL154C	4.4	18	9.2
YMR231W	0.2	14	0.6
YDR323C	0.4	NA	NA
YJL053W	1.5	20	2.7
YFR023W	NA	11	NA
YDR079W	1	20	1.7
YMR257C	0.4	21	0.8
YBL080C	0.2	NA	NA
YER058W	0.7	17	1.4
YER153C	0.2	NA	NA
YOR158W	0.7	20	1.3
YOR017W	0.8	15	2
YJL023C	0.1	NA	NA
YCR020C	0.3	56	0.3
YJR034W	0.4	13	1.3
YLR067C	0.3	NA	NA
YNR045W	0.2	15	0.7
YGR222W	0.8	23	1.2
YOR201C	0.6	15	1.4
YNL003C	1.5	16	3.4
YBL030C	14.3	17	30.7
YCR046C	1.1	16	2.6
YKL197C	0.3	24	0.5
YDR265W	0.6	21	1
YOL147C	1.3	12	4.2
YMR026C	0.4	15	1
YLR191W	0.7	21	1.2
YGL153W	0.7	16	1.4
YOL044W	0.6	19	1
YNL214W	0.2	NA	NA
YDL065C	1	22	1.8
YJL210W	0.7	12	2.2
YDR329C	0.7	25	1.1
YGR133W	0.2	14	0.7
YDR244W	0.3	23	0.5
YNL329C	0.6	14	1.5
YDR142C	0.6	22	0.9
YGR077C	1.5	18	3.1
YJL179W	0.8	15	1.9
YEL003W	3	12	9.4
YNL153C	3.6	11	12.1
YML094W	1.8	15	4.4
YGR240C	8.8	14	23
YMR205C	6.8	13	20
YIL107C	0.7	NA	NA
YOL136C	1.7	14	4.5
YOR122C	12	24	18.8
YGL025C	0.3	NA	NA
YBR196C	15.4	18	30.7
YCR012W	60.4	20	110.5
YJR153W	0.1	16	0.4
YKL127W	1.8	13	4.9
YMR105C	0.3	NA	NA
YNL316C	0.6	15	1.3
YGR132C	2.8	18	5.7
YGR231C	2.6	22	4.3
YKL043W	0.8	31	0.9
YAR071W	0.4	12	1.2
YHR215W	0.6	13	1.5
YDL236W	2.5	15	6.2
YDL106C	0.3	46	0.3
YNL097C	1.1	17	2.4
YBR092C	4.9	8	22.6
YFR034C	0.8	13	2.1
YBR093C	0.3	12	1.2
YDR481C	1.7	15	4.1
YOL001W	0.3	23	0.5
YGR233C	0.3	11	1.3
YML123C	2.2	7	12.3
YPL031C	1.2	22	2.1
YJL117W	2.7	15	6.8
YCR037C	1.8	24	2.7
YBR106W	19.8	15	50.3
YOR386W	0.1	16	0.3
YML061C	0.8	11	2.9
YLR273C	0.2	18	0.5
YIL045W	0.2	27	0.3
YNL267W	0.7	16	1.5
YBL022C	2.4	17	5.2
YOR363C	0.3	22	0.6
YKL164C	14.6	17	30.8
YKL163W	2.5	NA	NA
YPR113W	5.4	12	16.2
YBL105C	0.4	NA	NA
YMR123W	5.6	17	12.5
YMR008C	2.5	22	4.1
YPL268W	0.4	12	1.3
YGL008C	43.1	17	95
YPL036W	0.2	15	0.6
YGL006W	0.6	21	1
YER132C	0.4	20	0.9
YER003C	2.5	11	8
YGL167C	1.8	25	2.6
YNL082W	0.3	13	0.8
YDL095W	3.9	14	10.2
YAL023C	2.7	14	7.1
YOR321W	0.7	11	2.2
YJR143C	4.5	10	17.3
YDL093W	1	15	2.3
YGR199W	1.6	38	1.5
YKL128C	1.8	12	5.4
YOR266W	0.7	17	1.5
YPR135W	0.4	15	1.1
YML069W	2.5	19	4.7
YNL102W	0.7	10	2.6
YBL035C	0.8	NA	NA
YNL262W	1	15	2.4
