orf	expr.no.pheromone	expr.with.pheromone
YPL113C	3.15	1.4
YPL223C	0.54	0.58
YOR342C	20.72	112.58
YPL175W	22.97	17.37
YOR356W	28.44	13.33
YGR296W	1604.16	700.48
YIL057C	0.84	0.58
YCL002c	8.29	3.69
YBR145w	200.17	28.79
YIL121W	12.27	8.81
YJL107C	17.87	108.46
YGR261C	5.33	3.82
YML113W	30.62	21
YMR065W	1.29	34.14
YLR409C	79.39	26.37
YPL111W	27.67	17.06
YPL225W	5.53	6.94
YPL232W	29.69	40.78
YOR303W	147.13	136.85
YPL243W	65.45	66.26
YER132c	7.39	4.52
YGR057C	3.64	3.87
YER135c	0.88	1.4
YGL243W	6.16	5.91
YJL135W	5.46	3.62
YER036c	652.8	319.62
YLR159W	2.32	3.66
YMR126C	11.83	7.51
YML013W	42.97	27.66
YPL099C	2.16	2.82
YPL083C	23.36	20.47
YPR063C	24.96	34.34
YPR011C	7.31	5.42
YPR047W	5.56	6.53
YPL093W	535.93	271.14
YKL182W	912.07	433.11
YIL025C	0.5	0.76
YCL055w	6.69	225.24
YEL015w	24.7	28.17
YJL049W	1.06	2.24
YHL047C	13.98	5.93
YMR039C	131.93	146.39
YMR170C	0.38	1.78
YML029W	28.14	23.39
YPL064C	1.21	3.43
YPR053C	89.7	98.28
YPR027C	4.73	6.24
YPR106W	16.89	21.05
YPL020C	7.14	8.57
YGL197W	27.69	17.72
YGR158C	8.68	7.45
YFL020C	21.85	9.38
YGL105W	163.91	225.77
YJL064W	6.48	4.95
YER140w	64.37	20
YLR230W	9.31	4.05
YMR234W	6.09	5.27
YMR213W	1.14	3.08
YPL037C	93.09	162.14
YPL048W	780.42	447.7
YPR150W	0.43	0.85
YPR147C	18.02	10.6
YPR178W	6.43	7.45
YPR190C	36.35	26.55
YLR454W	1.22	2.55
YBR162W-A	88.75	49.55
YCR095c	4.82	4.98
YER056c	779.61	257.07
YJL013C	1.36	3.12
YHL024W	5.49	4.95
YMR157C	4.16	2.64
YMR279C	8.84	7.89
YMR125W	57.31	35.9
YPL014W	4.33	2.17
YPR168W	3.79	8.23
YPR199C	6.47	9.25
YPR186C	2.06	5.82
YFR024C-A	25.79	31.91
YHR164c	12.21	15.7
YGL152C	0.48	2
YIL134W	3.03	3.62
YBL064c	1.4	3.92
YBL046w	8.19	6.86
YIR001C	4.23	6.5
YEL007w	4.4	4.79
YLR275W	0.39	1.76
YLR380W	54.79	54.48
YLR047c	13.5	6.78
YNL055C	484.48	325.99
YDR543C	4.24	1.78
YOL139C	90.23	157.59
YOL064C	82.36	72.19
YHR049C-A	3.16	4.29
YAL019W	51.16	32.79
YAL045C	0.54	3.78
YAR029W	0.56	2.13
YBL103c	9.2	7.05
YBL086c	0.88	0.99
YIR025W	1.5	3.49
YER125w	218.5	86.53
YLR298C	0.42	2.48
YLR387C	25.68	20.53
YLR035c	6.68	4.89
YFL025C	37	9.27
YOL106W	85.99	6.27
YOL028C	6.63	11.38
YOL022C	26.73	21.07
YBR284w	1.66	1.58
YMR120C	9.67	4.67
YGL109W	2.59	3.86
YIL116W	27.37	19.33
YBR088c	33.16	7.81
YBR118w	6450.97	3150.58
YIR037W	15.93	19.98
YER088c	47.97	19.16
YLR374C	10.92	6.61
YLR460C	6.58	4.97
YLR153c	923.01	476.85
YNL003C	251.36	182.65
YOL050C	11.6	18.69
YOR064C	4.11	4.19
YOR061W	46.55	43.16
YDL199c	10.53	5.96
YBR235w	31.86	16.78
YAR062W	15.17	7.83
YAR053W	0.6	2.43
YBR040w	1.07	532.93
YBR207w	86.63	51.8
YJL196C	73.64	23.92
YER184c	8.54	10.55
YLR407W	10.29	13.97
YML080W	11.94	16.94
YLR188W	182.37	105.65
YGL178W	56.45	28.08
YOR050C	0.41	1.66
YOR111W	6	5.23
YOR091W	19.07	28.24
YDL056W	9.23	11.4
YGL080W	4.08	4.47
YIL084C	16.47	9.86
YBR219c	80.53	46.34
YBR195c	19.42	18.94
YJL189W	33.7	43.89
YFR015C	2.73	2.53
YLR437C	7.46	8.37
YML060W	4.46	3.41
YLR330W	32.78	45.52
YNR049C	4.38	3.02
YOR105W	2.35	3.97
YOR236W	4.4	6.62
YOR262W	29.52	28.22
YDL074c	33.32	44.34
YDR335W	20.36	10.46
YBR071w	33.06	8.74
YBL094c	6.9	4.79
YBR176w	6.12	4.88
YCL040w	84.89	58.92
YJL133W	17.24	18.7
YFR013W	9.38	6.86
YML053C	0.66	2.02
YMR034C	2.43	1.48
YLR304C	985.77	598.25
YGR056W	18.55	16.92
YOR203W	0.56	0.68
YOR284W	1.69	1.9
YOR368W	5.21	2.53
YDR208W	19.76	9.44
YDR159W	7.57	5.57
YGL054C	57.74	28.95
YIL063C	5.74	5.43
YCR059c	25.9	23.85
YCL069w	4.14	2.98
YJL143W	61.99	27.36
YGL203C	35.23	20.59
YML030W	2.12	3.84
YMR017W	0.38	0.6
YML082W	50.68	45.14
YPL127C	55.94	23.67
YOR248W	543.45	470.42
YOR387C	0.55	0.79
YPL236C	6.95	6.59
YDR172W	86.04	105.27
YEL025c	27.52	13.3
YBR217w	2.01	2.52
YBL053w	7.06	19
YBR290w	6.16	6.18
YDL044c	2.62	3.27
YJL052W	5177.72	2211.33
YGL163C	5.24	4.06
YMR077C	0.61	1.04
YMR113W	6	5.51
YLR452C	79.43	478.24
YGR204W	493.09	223.5
YOR376W	0.45	0.67
YPL280W	0.4	0.77
YPL171C	0.49	0.67
YDR416W	9.17	5.83
YDR443C	61.67	22.88
YGL032C	11.45	145.95
YIL039W	81.72	61.23
YEL005c	1.2	1.46
YCR068w	12.15	6.89
YJL096W	2.58	3.14
YGL086W	2.6	2.47
YMR059W	0.5	1.67
YMR114C	0.44	1.4
YMR058W	651.76	612.13
YPL076W	6.54	6.65
YPL271W	1.44	3.21
YPL166W	4.19	5.78
YPR056W	12.26	10.63
YDR333C	43.48	27.37
YGL006W	25.65	10.67
YCL026C-A	1.25	0.73
YBL018c	1.47	1.83
YCL016c	4.06	3.37
YEL016c	6.06	5.7
YJR008W	3.96	3.65
YGL027C	68.89	38.92
YMR150C	2.19	3.33
YMR208W	46.12	23.89
YMR163C	15.58	9.74
YHR072w	150.57	124.67
YPR044C	109.15	178.07
YPR015C	0.38	0.61
YPR054W	9.13	6.04
YNL311C	19.73	12.7
YER008c	4.01	4.56
YGL007W	3.9	3.62
YIL018W	3010.94	2402.47
YER100w	8.68	10.4
YER061c	5.06	4.55
YJL035C	2.96	4.33
YGR009C	5.35	6.92
YMR181C	12.99	7.56
YMR253C	14.86	8.04
YMR119W	35.8	15.95
YPL027W	0.7	0.71
YPR126C	6.71	11.15
YPR172W	8.2	9.61
YPR180W	5.02	7.07
YNL161W	44.29	30.86
YJL092W	19.1	6.43
YEL024w	180.78	143.36
YBR016w	11.85	12.46
YER053c	10.09	6.1
YER089c	138.16	122.64
YJR068W	7.22	8.22
YMR233W	5.27	6.28
YMR239C	0.5	2.98
YMR216C	64.72	59.31
YHR119w	20.9	18.76
YPR170C	4.98	11.41
YPR158W	2.07	4.43
YPR201W	2.21	3.98
YNL212W	17.65	26.52
YGL092W	38.65	52.12
YIL093C	1.59	2.46
YEL014c	0.99	2.69
YAR073W	845.7	390.97
YIL163C	0.65	3.59
YLR287C-a	58.76	64.82
YLR232W	2.33	3.65
YLR340W	3965.81	2554.1
YLR044c	6191.19	3149.92
YNL070W	0.76	2.66
YNL026W	23.89	21.76
YOL129W	53.19	38.55
YOR028C	2.16	3.68
YOR119C	34.22	31.88
YDL240W	35.61	29.23
YBL005w	0.57	2.35
YFL064C	94.06	34.49
YBL091c	29.37	32.8
YBL015w	19.45	10.81
YIR004W	8.36	13.51
YHL019c	3.15	5.52
YLR201C	30.21	23.95
YLR432W	1534.66	670.69
YLR092w	6.96	4.11
YNL005C	27.03	28.82
YOR103C	20.41	21.38
YOR106W	2.4	4.33
YOR032C	4.83	4.05
YBL085w	1.91	3.69
YAR050W	9.74	5.84
YFL045C	671.85	457.84
YER030w	3.22	5.26
YBR063c	29.1	23.09
YIR040C	6.27	5.21
YBR170c	14.77	10.03
YLR282C	0.46	2.61
YLR447C	339.55	227.76
YLR134w	4872.34	709.62
YNL030W	99.02	14.8
YNR012W	42.8	45.25
YOR148C	1	2.3
YOR107W	5.93	3.2
YOR221C	76.86	44.34
YDL031w	39.58	22.13
YCR093w	85.21	48.69
YIL132C	2.62	1.31
YBR031w	4616.87	3044.31
YBR184w	49.37	16.29
YJL183W	87.2	66.22
YHR032W	81.04	61.24
YLR301W	5.4	5.48
YML096W	23.57	22.22
YLR207W	16.79	12.02
YNR032W	12.72	18.18
YOR226C	3.3	4.97
YOR194C	9.95	15.45
YOR190W	4.25	2.38
YDL035c	0.38	1.36
YDR011W	131.95	131.42
YGL198W	36.17	22.27
YER066w	11.11	7.45
YCL028w	68.22	68.12
YJL202C	1.2	3.01
YBR296c	193.21	22.28
YLR327C	0.46	1.88
YML110C	52.76	36.32
YLR267W	3.7	3.56
YNR022C	4.7	3.79
YNR058W	1.46	0.94
YOR297C	20.34	17.83
YOR251C	11.89	17.79
YPL277C	8.91	8.93
YDR122W	34.79	24.93
YER155c	13.18	15.57
YIL086C	1.57	1.23
YBR076w	3.92	0.63
YBR274w	20.06	10.42
YJL138C	3583.12	2022.33
YHR078W	44.73	18.32
YLR393W	4.04	2.06
YMR014W	5.58	7.26
YNR071C	0.42	0.67
YOR339C	0.72	0.57
YOR281C	5.74	8.25
YOR245C	22.22	10.14
YDR166C	6.2	4.68
YDR406W	54.6	33.4
YGL046W	1.48	0.8
YER097w	5.4	8.03
YER048c	19.18	17.96
YJL169W	6.15	6.9
YCR061w	26.5	10.77
YLR379W	0.41	1.86
YMR041C	6.68	5.21
YML130C	102.93	76.04
YNR077C	1.91	1.19
YPL103C	8.66	9.15
YPL211W	37.01	42.85
YPL273W	123.23	184.18
YPL172C	19.56	13.19
YIL169C	23.43	27.31
YHR023w	24.99	24.25
YIL054W	1.02	1.12
YCR003w	1.05	2.6
YBR149w	44.02	36.02
YIL104C	4.59	6.41
YJL091C	51.78	20.54
YHR109W	6.82	5.13
YML105C	1086.07	596.47
YMR070W	11.5	11.31
YLR451W	9.96	6.64
YPL096W	3.91	6.32
YPL200W	0.46	0.53
YPL196W	1.37	2.49
YOR316C	50.32	19.62
YDR395W	65.82	21.13
YGR075C	9.07	6.39
YER146w	4.15	5.28
YGL213C	42.9	32.88
YJL120W	10.22	7.11
YER065c	7.13	6.95
YLR461W	8.76	4.53
YMR127C	7.04	5.43
YMR088C	79.23	52.42
YPL098C	5.2	6.71
YPL072W	1.59	1.72
YPR067W	4.09	6.57
YPR013C	7.52	6.97
YPR068C	4.08	4.03
YJR132W	8.63	6.3
YKR054C	12.94	7.07
YIL024C	1.45	2.29
YCL032w	3.07	2.69
YER006w	119.22	119.05
YJL048C	14.85	11.66
YHR166c	5.77	5.63
YMR043W	59.04	68.04
YMR171C	0.39	2.31
YMR016C	20.83	16.13
YPL055C	13.38	10.98
YPR064W	0.44	0.74
YPR069C	92.39	127.94
YPR108W	56.43	77.42
YKL064W	49.8	31.96
YGL173C	106.85	125.44
YGR161C	26.42	8.68
YFL017C	13.02	10.35
YGL082W	39.24	43.88
YJL032W	0.54	1.73
YER147c	45.56	22.73
YML058W	78.53	29.85
YMR241W	122.07	68.23
YMR227C	2.11	3.92
YPL034W	1.31	1.83
YPL028W	701.45	446.09
YPR187W	36.75	53.82
YPR176C	26.7	22.37
YPR196W	7.68	5.4
YKL020C	33.7	18.25
YMR207C	82.67	43.75
YBL112C	0.64	1.39
YCR105w	4.28	3.26
YER060w	61.08	12.45
YJL002C	433.98	277.88
YHR196W	39.22	27.43
YMR178W	5.56	6.4
YMR283C	4.47	5.86
YMR160W	6.44	6.57
YPL011C	183.3	186.33
YPR193C	0.39	0.61
YPR202W	138.84	66.96
YFL013W-A	0.38	2.79
YML076C	7.92	13.83
YHR186C	41.09	55.5
YGL149W	11.97	11.23
YIL133C	1197.82	639.28
YBL043w	3.88	2.96
YJL030W	0.66	2.62
YER005w	33.37	14.8
YLR279W	0.53	2.89
YLR405W	22.42	15.58
YLR083c	0.39	3.22
YNL038W	2.96	3.56
YGL182C	0.38	0.96
YOL135C	1.13	3.06
YFL034C-B	7.13	8.78
YBR043c	35.88	20.02
YAL002W	13.19	7.04
YAL044C	11.03	10.12
YAR030C	4.27	3.83
YBL087c	482.64	426.59
YBL056w	232.05	170.61
YJR070C	59.42	89.21
YER144c	8.09	6.26
YLR306W	0.59	2.08
YLR431C	0.39	2.53
YLR069c	58.71	53.87
YFR030W	66.86	40.1
YOL085C	0.38	1.14
YOR004W	13	18.16
YBR045c	8.35	6.17
YDL239c	4.53	4.63
YAL024C	2.76	3.55
YGL108C	3.16	4.98
YIL114C	28.69	16.44
YBR107c	10.79	6.65
YBR130c	22.87	20.48
YJR017C	13.33	24.43
YER103w	41.54	6.53
YLR385C	3.23	3.57
YML132W	344.63	114.36
YLR177W	1.4	2.05
YNR002C	77.41	51.74
YOL048C	4.71	4.79
YOR078W	5.44	7.95
YDL189w	10.63	15.17
YDL176w	11.83	9.48
YBR245c	38.23	18.85
YML036W	13.49	7.22
YAR060C	47.87	37.04
YBR048w	1700.92	1810.41
YBR241c	12.77	8.51
YJR096W	2.65	4.12
YFL050C	17.79	9.9
YLR456W	0.4	1.06
YML068W	9	6.83
YLR219W	40.84	21.45
YGL167C	393.79	268.08
YOR053W	26.86	33.81
YOR126C	41.78	48.45
YDL042C	47.44	54.44
YDL040C	137.85	129.93
YCR042c	59.77	30.43
YGL079W	7.41	6.72
YIL083C	58.53	427.42
YBR257w	1.87	2.88
YBR233w	7.59	7.67
YJR069C	17.35	28.07
YFR022W	6.5	5.34
YLR445W	0.39	1.27
YML048W	377.07	276.24
YLR369W	0.73	3.52
YNR057C	1.18	0.91
YOR121C	1.42	2.84
YOR247W	1168.55	1195.75
YDL101C	9.22	5.04
YDR001C	45.11	39.11
YDR507C	30.48	6.81
YBR106w	359.36	285.21
YBL090w	4.56	5.61
YBR183w	9.58	11.29
YCL037c	34.8	20.46
YJR139C	471.95	215.6
YFR038W	17.41	7.75
YML028W	170.11	132.44
YMR044W	7.83	8.05
YLR335W	60.41	54.36
YGR089W	53.67	27.99
YOR225W	0.62	1.13
YOR289W	1.17	1.82
YDR131C	5.28	5.6
YDR251W	0.38	1.22
YDR216W	2.99	2.61
YGL052W	3.42	9.32
YIL061C	3	2.49
YCR075c	7.5	4.31
YCL052c	32.27	30.8
YJR113C	8.28	10.06
YGL145W	18.87	10.67
YML011C	2.59	2.04
YMR021C	6.11	6.33
YML042W	0.47	2.39
YPL124W	0.61	0.57
YOR265W	0.85	2.1
YPL267W	0.81	0.88
YDR061w	13.73	17.46
YDR176W	2.86	5.13
YER013w	9.71	8.42
YBR264c	5.52	5.61
YBL049w	1.43	1.47
YBR291c	14.95	6.93
YEL071w	515.38	390.18
YJR154W	4.46	3.23
YGL139W	73.79	40.45
YMR090W	3.51	2.93
YMR133W	0.41	0.55
YML016C	59.67	38.36
YGR218W	232.61	108.8
YOR379C	1.54	2.85
YPL275W	2.52	1.17
YDR358W	4.37	6.06
YDR422C	24.3	12.53
YDR464W	0.94	2.87
YGL031C	423.41	571.5
YIL035C	28.97	26.23
YER011w	10.62	7.13
YCR079w	12.23	8.47
YKL087C	7.35	7.35
YGL071W	23.65	15.94
YMR071C	3.99	3.65
YMR139W	12.76	12.84
YMR061W	0.38	1.64
YPL068C	3.61	2.92
YPL261C	1.71	1.77
YPR037C	8.03	8.01
YDR169C	6.36	7.49
YDR338C	16.21	8.51
YGR070W	2.43	2.91
YCR013c	1818.21	1922.28
YBL012c	39.16	29.04
YCL009c	547.84	516.06
YER003c	345.59	223.2
YKL093W	8.6	6.22
YGL021W	14.35	10.41
YMR161W	23.18	18.07
YMR209C	10.97	9.04
YMR167W	20.34	16.01
YHR073W	86.81	75.63
YPR059C	7.7	7.99
YPR016C	526.47	427.36
YMR319C	89.44	67.98
YNL298W	51.06	62.98
YER093c	7.63	6.79
YGL002W	9.86	8.65
YIL011W	12.06	5.73
YER116c	3.27	4.66
YER101c	7.03	5.17
YKL041W	3.8	4.1
YGR054W	288.13	177.1
YMR195W	0.51	1.27
YMR270C	3.58	4.65
YMR137C	1.3	2.71
YPL024W	7.25	4.7
YPR182W	0.71	2.92
YPR174C	7.24	4.77
YDR348C	41.74	28.99
YNL144C	2.55	2.2
YJL080C	562.81	300.39
YEL012w	0.43	1.72
YBR022w	1.38	1.94
YER055c	419.2	352.85
YER122c	72.13	50.24
YDR247W	9.92	5.83
YGR143W	57.96	43.21
YMR245W	0.72	2.59
YMR240C	0.4	2.58
YMR224C	7.57	7.92
YHR120w	15.12	9.93
YPR177C	0.42	4.44
YPR167C	0.95	3.35
YNL189W	186.04	304.29
YNL201C	12.16	21.4
YGR014W	113.27	161.71
YIL070C	11.77	8.46
YEL010w	0.57	1.94
YBL081w	432.57	174.59
YDR246W	30.29	20.67
YER158c	0.39	1.6
YLR236C	0.58	3.2
YLR348C	14.51	8.45
YLR055c	24.76	15.89
YNL022C	40.97	34.64
YOL099C	3.6	4.37
YOR065W	232.79	172.05
YBR041w	83.04	81.8
YDL223c	8.79	7.34
YBL004w	146.84	92.91
YFL063W	6.28	3.06
YCL046w	68.05	29.96
YBL074c	8.47	4.98
YBR008c	42.96	12.82
YJR003C	22.35	22.13
YHL016c	0.56	2.96
YLR205C	0.41	1.53
YML128C	4.46	5.37
YLR095c	22.89	13.86
YNL002C	78.04	112.07
YOR139C	4.6	7.01
YOR114W	1.66	0.79
YBR068c	362.67	335.86
YCR037c	30.59	12.66
YBL079w	2156.69	923.9
YER034w	14.65	11.87
YBR125c	89.87	55.89
YIR041W	8.41	4.52
YFR023W	0.38	1.64
YLR294C	1.4	2.58
YLR448W	873.04	568.38
YLR152c	11.45	6.27
YNL028W	2.74	2.26
YNR021W	299.68	263.18
YOR150W	6.28	9.44
YOR120W	6.88	5.26
YDR049W	8.45	12.41
YDR017C	12.84	7.33
YDL171c	351.92	194.83
YIL127C	4.49	4.02
YBR034c	176.11	192.26
YBR214w	58.64	38.72
YJR051W	14.3	20.13
YHR039C	189.34	85.05
YLR323C	6.42	9.1
YML069W	42.3	55.15
YLR222C	86.68	105.56
YNR034W	13.27	9.84
YOR252W	1.11	3.84
YOR220W	75.52	68.17
YDL080c	10.59	16.25
YDR006C	14.83	10.47
YDR093W	90.91	48.51
YGL174W	6.73	5.03
YER067w	1.81	2.52
YCR094w	18.2	13.62
YJL199C	262.76	173.42
YGL179C	5.24	3.54
YLR331C	9.2	4.87
YML087C	3.27	2.98
YLR276C	54.28	69.92
YNR024W	1.05	1.59
YNR073C	0.48	0.56
YOR331C	25.52	29.94
YOR279C	1.34	1.88
YDR266C	56.52	65.29
YDR270W	40.55	13.39
YER172c	110.55	31.61
YCL008c	4.6	6.47
YBR087w	22.93	15.16
YCL043c	1591.53	874.73
YJR080C	14.93	12.71
YHR084w	45.45	73.65
YLR404W	5.7	6.4
YMR015C	379.38	218.08
YLR347C	156.14	105.05
YNR074C	0.39	0.89
YOR369C	838.81	887.31
YOR311C	84.77	70.68
YDR091C	479.04	407.2
YDR186C	23.63	14.35
YDR420W	37.51	6.3
YGL020C	23.34	18.55
YER109c	11.79	12.44
YER095w	67.01	19.84
YJL166W	5.67	6.66
YGL095C	10.65	7.37
YLR388W	0.41	1.63
YMR048W	2.38	1.08
YML127W	64.75	56.5
YPL142C	96.32	111.28
YPL101W	27.85	30.11
YPL187W	0.46	0.66
YPL266W	22.25	34.25
YDR386W	3.56	2.88
YIL156W	19.13	11.51
YHR165c	11.88	7.42
YIL051C	20.92	33.44
YCR006c	2.04	3.56
YBR159w	85.34	74.67
YIL097W	5.49	4.25
YJR148W	73.52	35.83
YHR114W	7.89	6.96
YML064C	0.89	0.71
YMR093W	74.41	68.41
YML111W	18.79	8.22
YPL090C	1820.22	1881.41
YPL192C	2.42	50.04
YPL162C	25.68	16.01
YDR349C	92.36	100.39
YDR409W	0.39	0.96
YGR095C	9.53	8.78
YER150w	11.87	8.42
YGL185C	3.78	1.09
YJL119C	3.71	2.41
YGR055W	298.92	129.38
YLR465C	6.65	3.16
YMR130W	11.04	9.83
YMR098C	8.6	8.95
YPL080C	1.07	1.02
YPL066W	11.12	9.2
YPR073C	5.91	6.17
YPR058W	39.63	33.64
YDR458C	24.24	12.52
YKL210W	198.72	99.37
YLL040c	3.5	3.96
YIL016W	16.41	17.74
YCL018w	50.14	36.93
YER007w	6.48	5.3
YKL080W	463.62	391.92
YHR171W	6.25	4.75
YMR063W	0.56	0.81
YMR177W	28.17	24.18
YMR031C	11.12	10.22
YPL054W	0.39	0.73
YPR082C	1.49	3.16
YPR103W	78.6	89.02
YKL032C	63.81	117.89
YKL015W	53.68	44.83
YGL150C	660.68	563.82
YGR167W	12.8	17.61
YFL015C	0.75	0.59
YGL075C	7.5	2.63
YJL028W	1.26	0.98
YGR138C	43.64	9.77
YMR007W	3.06	1.58
YMR262W	4.19	4.49
YMR250W	4.29	5.4
YPL035C	1.47	1.01
YPL026C	50.05	21.85
YPR188C	1.04	2.85
YPR192W	2.45	3.09
YMR313C	33.56	19.22
YKR028W	45.84	19.38
YNL339C	1435.76	508.53
YOL039W	528.88	648.7
YCR046c	7.81	9.08
YCR107w	48.06	20.7
YER073w	282.91	112.34
YKL039W	149.98	115.54
YHR197W	57.43	22.27
YMR183C	1515.42	847.75
YMR285C	14.88	17.06
YMR165C	1.7	4.58
YPL004C	143.77	171.05
YPR200C	0.42	1.03
YER093C-A	0.39	1.16
YNL121C	95.4	189.34
YMR019W	15.17	20.82
YJL222W	44.77	54.05
YGL147C	931.62	885.41
YIL131C	9.36	8.1
YDR240C	9.48	8.69
YER119c	25.43	12.94
YJL024c	3.08	4.43
YER015w	0.38	2.96
YLR281C	0.38	2.22
YLR418C	22.19	24.57
YLR088w	61.38	24.38
YNL036W	15.04	11.18
YHR053c	14.63	11.84
YBR139w	58.38	60.75
YBR080c	26.87	14.55
YAL001C	9.9	7.1
YAL034W-A	1.11	2.58
YBL069w	29.88	17.2
YFL022C	168.06	101.97
YJR077C	701.01	396.92
YER151c	24.73	19.44
YLR329W	0.51	1.77
YLR438W	18.81	11.86
YLR072w	14.3	10.03
YGL251C	7.51	5.68
YOL037C	7.59	12.49
YBL032w	45.08	53.1
YBR200w	21.87	31.54
YDL148c	35.97	19.24
YAL017W	267.48	119.28
YGL106W	264.39	205.14
YIL110W	29.03	24.39
YBR152w	6.15	5.95
YGL170C	6.96	2.81
YJR024C	39.54	40.05
YER113c	30.55	10
YML131W	23.16	11.75
YLR214W	538.16	163.54
YNR009W	8.98	4.4
YOL035C	5.88	11.82
YDL209c	5.92	5.76
YDL178W	55.8	45.03
YDL167C	70.94	55.99
YBR295w	12.46	7.62
YBL107c	4.73	7.2
YAR061W	0.72	2.21
YBR061c	23.68	27.14
YGL184C	2.27	0.83
YJR100C	7.01	6.9
YFL024C	5.68	4.84
YLR462W	106.07	23.28
YML051W	42.89	51.77
YLR233C	9.2	2.9
YGL156W	8.74	7.64
YOR068C	0.88	4.08
YDL188C	211.63	210.24
YDL003W	7.24	0.61
YDL028C	7.22	7.36
YCR073c	4.25	5.44
YGL074C	4.56	6.98
YIL082W	43.28	1761.88
YCL047c	6.54	5.95
YGL025C	15.51	11.82
YJR073C	29.33	28.02
YFR029W	4.73	4.98
YLR458W	0.42	1.61
YML027W	12.31	1.73
YLR399C	32.74	37.9
YNR061C	28.76	14.14
YOR146W	10.18	21.87
YDL065c	7.37	6.49
YDL088C	53.63	61.62
YDR052C	13.51	10.16
YIL151C	14.58	9.86
YBR122c	8.74	9.14
YBL083c	39.77	25.96
YBR211c	5.8	4.01
YGL038C	43.17	14.56
YJR141W	5.48	4.97
YFR040W	26.59	11.69
YML022W	235.89	71.91
YLR362W	14.49	7.88
YGR094W	1422.98	700.43
YOR309C	250.61	266.35
YDR021w	3.41	4.71
YDR188W	388.83	296.56
YDR258C	29.52	14.21
YDR217C	10.96	6.53
YGL047W	1.78	3.94
YIL053W	897.52	1060.04
YCR076c	4.58	3.09
YGR210C	61.85	59.43
YJR115W	8.87	9.14
YGL144C	4.71	3.44
YMR002W	48.17	33.85
YMR024W	24.8	29.39
YML034W	30.32	27.13
YPL121C	0.51	0.58
YOR277C	10.34	24.01
YDR065w	2.88	2.99
YDR072c	220.22	129.03
YDR205W	17.19	9.2
YER129w	20.99	15.37
YBR266c	5.84	9.9
YBL048w	6.84	6.14
YGR108W	24.52	14.83
YJR155W	11.42	4.42
YGL120C	156.89	125.22
YMR095C	6.64	3.51
YMR135C	14.47	8.36
YML006C	11.96	8.58
YGR258C	8	6.64
YPL205C	8.69	5.53
YDR171W	8.7	5.34
YDR387C	17.54	12.36
YDR485C	2.41	3.57
YIL159W	5.57	3.57
YGL030W	420.63	317.98
YIL034C	20	27.33
YER023w	143.35	179.5
YHL002W	11.68	13.21
YKL071W	11.75	10.72
YGL066W	9	7.69
YMR074C	4.36	5.18
YMR152W	11.02	9.93
YMR075W	6.3	6.24
YPL067C	10.5	14.25
YPL251W	7.34	9.91
YDR265W	5.95	4.44
YDR182W	57.28	52.45
YDR436W	10.5	7.88
YGR097W	49.49	48.67
YCR020c	2.64	2.89
YBL006c	5.54	6.54
YCR002c	42.62	37.12
YGR256W	86.03	8.04
YKL091C	2.65	3.67
YGL014W	13.94	8.32
YMR182C	31.5	28.66
YMR210W	9.63	7.28
YMR172W	6.49	5.45
YHR077c	52.78	61.79
YPR076W	3.65	4.18
YDR321W	198.09	255.82
YNL291C	48.19	29.1
YNL256W	60.8	40.03
YER105c	27.77	16.24
YGR001C	10.53	11.92
YIL006W	4.63	4.22
YER117w	627.64	552.64
YHR115C	58.52	48.49
YKL040C	23	23.66
YGR083C	55.35	44.58
YMR236W	3.87	6.81
YMR272C	118.57	67.98
YMR232W	2.79	164.69
YPL010W	37.04	37.8
YPR203W	78.64	20.62
YDR411C	44.86	40.1
YDR371W	8.31	6.85
YNL101W	18	6.38
YJL076W	36.57	19.96
YEL001c	45.16	44.05
YBR027c	0.64	0.8
YER076c	7.37	5.43
YHR036W	7.89	5.28
YKL042W	0.48	0.73
YGR150C	8.82	7.6
YMR255W	1.44	4.54
YMR243C	283.22	135
YMR237W	73.11	77.71
YHR154W	16.31	5.47
YPR195C	1.5	4.55
YDR498C	6.58	12.34
YNL182C	32.14	49.6
YNL186W	59.08	125.2
YGR061C	154.07	116.14
YIL064W	7.21	9.26
YEL008w	0.39	1.16
YML086C	160.27	128.17
YJL027C	0.43	1.26
YER165w	32.76	32.6
YLR252W	0.4	2.91
YLR354C	450.01	310.64
YLR060w	466.07	511.08
YNL057W	7.46	27.73
YNL016W	95.39	82.44
YBR092c	1893.71	623.7
YDL224c	114.36	109.42
YDL215C	5.92	4.73
YBR136w	15.46	8.21
YFL057C	24.71	13.7
YBL068w	72.19	67.6
YER078c	35.33	26.81
YJR006W	11.47	9.83
YHL008C	9.18	6.12
YLR243W	594.16	722.17
YML126C	1020.17	633.15
YLR115w	22	16.17
YNL001W	9.64	12.66
YOR169C	91.1	74.13
YBR078w	2898.32	1776.1
YDL220C	3.88	4.33
YBL034c	22.69	8.46
YFR020W	9	4.87
YER035w	9.94	8.77
YBR155w	15.67	15.05
YJR018W	8.55	18.29
YFR028C	32.67	29.62
YLR295C	1.48	3.46
YLR455W	36.01	22.85
YLR173W	10.13	8.97
YNL017C	2.06	3.97
YNR026C	36.69	34.04
YOR163W	8.37	7.75
YDL103C	18.2	15.5
YDR107C	243.74	90.6
YDR028C	22.42	18.37
YDL047W	69.09	67.79
YIL113W	1.8	1.47
YJL159W	2431.62	1624.86
YFL011W	0.66	0.63
