orf	name	YPD0.1_rpkb	YPD0.2_rpkb	YPD15.1_rpkb	YPD15.2_rpkb	HS15.1_rpkb	HS15.2_rpkb	YPD0_rpkb	YPD15_rpkb	HS15_rpkb	YPD0_copies_per_cell	YPD15_copies_per_cell	HS15_copies_per_cell
YDL130W	RPP1B	8181.03	7084.46	7745.17	6216.2	2763.91	1916.4	7632.75	6980.69	2340.16	28.18	28.34	9.7
YDL129W	NA	37.14	38.3	32.49	33.65	27.85	16.25	37.72	33.07	22.05	0.14	0.13	0.09
YDL128W	VCX1	478.59	413.96	415.6	404.15	373.88	249.52	446.28	409.87	311.7	1.65	1.66	1.29
YDL127W	PCL2	109.97	138.28	103.44	91.46	84.93	43.55	124.13	97.45	64.24	0.46	0.4	0.27
YDL126C	CDC48	1187.03	952.69	1181.4	1182.61	1495.87	1300.18	1069.86	1182	1398.03	3.95	4.8	5.79
YDL125C	HNT1	1101.91	1176.22	1053.08	944.8	2070.06	934.18	1139.07	998.94	1502.12	4.2	4.05	6.22
YDL124W	NA	862.31	1414.88	1087.87	1014.48	5240.76	3809.7	1138.59	1051.17	4525.23	4.2	4.27	18.75
YDL123W	SNA4	181.67	241.43	224.7	162.55	260.56	169.72	211.55	193.63	215.14	0.78	0.79	0.89
YDL122W	UBP1	267.45	198.61	251.18	207.37	94.71	84.28	233.03	229.28	89.5	0.86	0.93	0.37
YDL121C	NA	367.54	266.69	340.65	304.79	40.34	20.17	317.12	322.72	30.25	1.17	1.31	0.13
YDL120W	YFH1	308.93	426.71	349.48	256.8	283.83	202.74	367.82	303.14	243.28	1.36	1.23	1.01
YDL118W	NA	50.29	50.29	87.34	74.11	145.57	82.05	50.29	80.72	113.81	0.19	0.33	0.47
YDL119C	NA	81.94	86.31	79.76	63.37	198.84	100.51	84.13	71.56	149.68	0.31	0.29	0.62
YDL117W	CYK3	119.22	97.89	105.88	84.17	96.36	76.56	108.55	95.03	86.46	0.4	0.39	0.36
YDL116W	NUP84	173.45	153.97	140.52	145.16	121.04	93.68	163.71	142.84	107.36	0.6	0.58	0.44
YDL114W-A	NA	35.23	26.42	35.23	70.46	88.07	70.46	30.83	52.84	79.27	0.11	0.21	0.33
YDL115C	IWR1	168.61	166.72	140.2	147.77	359.01	197.03	167.67	143.98	278.02	0.62	0.58	1.15
YDL114W	NA	2.18	4.36	0	1.09	8.72	1.09	3.27	0.54	4.9	0.01	0	0.02
YDL113C	ATG20	88.49	107.34	108.38	99.48	205.77	152.37	97.91	103.93	179.07	0.36	0.42	0.74
YDL112W	TRM3	132.25	80.43	94.26	82.54	16.41	10.55	106.34	88.4	13.48	0.39	0.36	0.06
YDL111C	RRP42	226.86	178.7	204.04	179.97	191.37	128	202.78	192.01	159.69	0.75	0.78	0.66
YDL110C	TMA17	473.33	973.33	951.11	946.67	3891.11	2660	723.33	948.89	3275.56	2.67	3.85	13.57
YDL109C	NA	31.71	48.35	34.83	22.36	46.79	45.23	40.03	28.59	46.01	0.15	0.12	0.19
YDL108W	KIN28	104.42	109.92	82.44	84.63	116.51	56.06	107.17	83.54	86.28	0.4	0.34	0.36
YDL107W	MSS2	80.56	95.9	82.48	70.97	124.68	77.68	88.23	76.72	101.18	0.33	0.31	0.42
YDL106C	PHO2	103.17	117.57	100.77	103.17	164.95	110.97	110.37	101.97	137.96	0.41	0.41	0.57
YDL105W	NSE4	80.55	67.96	55.38	52.86	41.11	32.72	74.26	54.12	36.92	0.27	0.22	0.15
YDL104C	QRI7	63.39	63.39	52.68	55.98	62.56	32.1	63.39	54.33	47.33	0.23	0.22	0.2
YDL103C	QRI1	264.39	238.37	271.42	255.24	293.21	207.43	251.38	263.33	250.32	0.93	1.07	1.04
YDL102W	POL3	80.15	52.82	69.09	51.9	30.09	24.26	66.48	60.49	27.18	0.25	0.25	0.11
YDL101C	DUN1	110.5	102.66	119	98.73	181.12	139.27	106.58	108.87	160.2	0.39	0.44	0.66
YDL100C	GET3	937.44	814.22	836.97	802.84	1123.22	752.61	875.83	819.91	937.91	3.23	3.33	3.89
YDL099W	BUG1	416.02	412.05	353.47	353.47	552.04	395.17	414.03	353.47	473.61	1.53	1.43	1.96
YDL098C	SNU23	63.57	61.86	72.16	54.98	96.22	58.42	62.71	63.57	77.32	0.23	0.26	0.32
YDL097C	RPN6	518.73	455.34	565.89	494.77	902.17	650.93	487.03	530.33	776.55	1.8	2.15	3.22
YDL095W	PMT1	685.46	583.71	655.8	596.89	515.74	551.58	634.58	626.34	533.66	2.34	2.54	2.21
YDL096C	OPI6	276.68	251.81	313.99	279.79	152.33	307.77	264.25	296.89	230.05	0.98	1.21	0.95
YDL093W	PMT5	104.55	130.34	104.09	102.74	55.22	50.69	117.45	103.42	52.95	0.43	0.42	0.22
YDL094C	NA	73.23	71.25	39.58	65.31	49.48	47.5	72.24	52.44	48.49	0.27	0.21	0.2
YDL092W	SRP14	566.66	497.55	573.57	486.04	490.64	304.06	532.1	529.8	397.35	1.96	2.15	1.65
YDL091C	UBX3	111.97	151.75	134.81	140.7	166.49	119.34	131.86	137.76	142.91	0.49	0.56	0.59
YDL090C	RAM1	113.61	115.16	137.73	116.72	164.96	124.5	114.39	127.22	144.73	0.42	0.52	0.6
YDL089W	NA	119.42	138.17	140.25	143.73	180.52	126.37	128.8	141.99	153.45	0.48	0.58	0.64
YDL088C	ASM4	170.39	203.45	170.39	162.12	195.18	169.12	186.92	166.26	182.15	0.69	0.67	0.75
YDL087C	LUC7	52.7	71.98	66.84	65.55	62.98	82.26	62.34	66.2	72.62	0.23	0.27	0.3
YDL086W	NA	671.5	913.44	585.09	622.13	790	690.02	792.47	603.61	740.01	2.93	2.45	3.07
YDL086C-A	NA	767.25	1003.51	624.56	697.08	823.39	797.66	885.38	660.82	810.53	3.27	2.68	3.36
YDL085C-A	NA	553.06	625.83	494.85	509.4	635.54	480.29	589.45	502.12	557.91	2.18	2.04	2.31
YDL085W	NDE2	11.14	22.29	13	11.76	138.06	102.15	16.72	12.38	120.1	0.06	0.05	0.5
YDL084W	SUB2	2385.89	1910.52	2149.72	2087.84	1288.77	1067.69	2148.21	2118.78	1178.23	7.93	8.6	4.88
YDL083C	RPS16B	7051	5824.09	6415.37	5487.07	946.05	629.71	6437.55	5951.22	787.88	23.76	24.16	3.26
YDL082W	RPL13A	4665.74	3754.55	3655	3134.32	594.7	201.64	4210.15	3394.66	398.17	15.54	13.78	1.65
YDL081C	RPP1A	12476.27	10294.45	11462.59	9769.91	5216.41	4456.96	11385.36	10616.25	4836.69	42.03	43.09	20.04
YDL080C	THI3	152.88	168.89	112.59	92.72	70.65	52.43	160.88	102.66	61.54	0.59	0.42	0.25
YDL079C	MRK1	66.26	92.36	86.34	97.72	208.15	129.17	79.31	92.03	168.66	0.29	0.37	0.7
YDL078C	MDH3	751.62	731.07	724.22	715.41	794.68	596.01	741.34	719.81	695.35	2.74	2.92	2.88
YDL077C	VAM6	73.89	74.21	63.98	66.22	80.61	73.89	74.05	65.1	77.25	0.27	0.26	0.32
YDL076C	RXT3	223.54	239.51	280.57	247.49	304.52	221.26	231.53	264.03	262.89	0.85	1.07	1.09
YDL075W	RPL31A	10014.62	8051.19	8731.26	7524.68	2650.82	2354.66	9032.91	8127.97	2502.74	33.34	32.99	10.37
YDL074C	BRE1	285.02	253.94	212.33	178.38	151.12	87.51	269.48	195.35	119.32	0.99	0.79	0.49
YDL073W	NA	115.29	104.68	84.84	94.08	47.89	42.08	109.99	89.46	44.99	0.41	0.36	0.19
YDL072C	YET3	787.81	902.01	786.15	910.28	2044	1431.63	844.91	848.22	1737.81	3.12	3.44	7.2
YDL070W	BDF2	904.91	796.62	724.78	566.83	803.49	560.49	850.77	645.8	681.99	3.14	2.62	2.83
YDL071C	NA	65.28	68	51.68	43.52	27.2	48.96	66.64	47.6	38.08	0.25	0.19	0.16
YDL068W	NA	73.09	82.22	82.22	70.04	94.4	51.77	77.66	76.13	73.09	0.29	0.31	0.3
YDL069C	CBS1	93.28	112.22	94.73	87.45	122.43	77.25	102.75	91.09	99.84	0.38	0.37	0.41
YDL067C	COX9	940.62	1064.54	1103.97	1160.29	1565.83	895.56	1002.58	1132.13	1230.7	3.7	4.6	5.1
YDL066W	IDP1	809	1375.61	838.9	1002.59	613.83	784.6	1092.3	920.75	699.22	4.03	3.74	2.9
YDL065C	PEX19	341.34	298.43	294.53	285.75	364.74	250.64	319.88	290.14	307.69	1.18	1.18	1.27
YDL064W	UBC9	483.47	440.68	468.49	367.95	316.61	243.87	462.07	418.22	280.24	1.71	1.7	1.16
YDL062W	NA	54.59	33.23	37.97	23.73	2.37	2.37	43.91	30.85	2.37	0.16	0.13	0.01
YDL063C	NA	121.74	62.22	72.5	46.53	8.66	2.71	91.98	59.52	5.68	0.34	0.24	0.02
YDL061C	RPS29B	8380.85	6707.37	7426.49	6075.61	1384.49	551.11	7544.1	6751.05	967.8	27.85	27.4	4.01
YDL060W	TSR1	212.15	126.43	135.43	99	10.29	12	169.29	117.22	11.14	0.62	0.48	0.05
YDL059C	RAD59	82.92	116.65	81.52	77.3	163.04	101.19	99.79	79.41	132.12	0.37	0.32	0.55
YDL058W	USO1	159.61	156.78	121.45	120.32	64.22	86.13	158.19	120.89	75.18	0.58	0.49	0.31
YDL057W	NA	38.97	64.6	46.15	26.66	130.23	106.65	51.79	36.4	118.44	0.19	0.15	0.49
YDL056W	MBP1	97.5	121.77	99.92	91.43	118.94	118.13	109.63	95.67	118.53	0.4	0.39	0.49
YDL055C	PSA1	8745.64	7299.98	7522.46	6574.82	2156.85	1731.44	8022.81	7048.64	1944.15	29.62	28.61	8.06
YDL054C	MCH1	120.15	149.32	119.46	102.1	125.01	85.43	134.74	110.78	105.22	0.5	0.45	0.44
YDL053C	PBP4	562.23	516.89	540.47	473.36	623.89	359.1	539.56	506.91	491.5	1.99	2.06	2.04
YDL052C	SLC1	437.92	596.45	465.63	334.81	460.09	443.46	517.18	400.22	451.77	1.91	1.62	1.87
YDL051W	LHP1	622.87	277.1	421.78	378.87	105.45	89.51	449.98	400.33	97.48	1.66	1.63	0.4
YDL050C	NA	725.12	288.96	460.7	384.37	117.22	106.32	507.04	422.54	111.77	1.87	1.72	0.46
YDL049C	KNH1	56.29	40.03	56.29	28.77	12.51	28.77	48.16	42.53	20.64	0.18	0.17	0.09
YDL048C	STP4	105.58	74.53	70.39	56.59	52.45	53.14	90.06	63.49	52.79	0.33	0.26	0.22
YDL047W	SIT4	356.95	337.42	372.14	289.68	334.16	237.6	347.18	330.91	285.88	1.28	1.34	1.18
YDL046W	NPC2	997.66	1040.28	1214.63	1038.34	1768.67	1534.26	1018.97	1126.48	1651.46	3.76	4.57	6.84
YDL045W-A	MRP10	525.03	535.6	539.13	570.84	680.08	387.61	530.32	554.98	533.84	1.96	2.25	2.21
YDL045C	FAD1	158.82	153.34	150.05	134.72	197.15	131.43	156.08	142.39	164.29	0.58	0.58	0.68
YDL044C	MTF2	63.87	73.76	63.87	71.48	82.12	52.47	68.82	67.68	67.3	0.25	0.27	0.28
YDL043C	PRP11	142	128.18	118.13	85.45	54.04	75.4	135.09	101.79	64.72	0.5	0.41	0.27
YDL041W	NA	68.51	39.96	77.07	71.36	17.13	28.54	54.23	74.22	22.84	0.2	0.3	0.09
YDL042C	SIR2	99.27	82.53	102.86	80.14	39.47	38.87	90.9	91.5	39.17	0.34	0.37	0.16
YDL040C	NAT1	493.34	383.18	437.47	432.75	214.8	218.34	438.26	435.11	216.57	1.62	1.77	0.9
YDL039C	PRM7	26.23	14.57	17.49	14.57	5.83	17.49	20.4	16.03	11.66	0.08	0.07	0.05
YDL038C	NA	30.16	8.23	7.54	8.91	2.74	5.48	19.2	8.23	4.11	0.07	0.03	0.02
YDL037C	BSC1	21.31	7.99	14.65	7.99	2.66	6.66	14.65	11.32	4.66	0.05	0.05	0.02
YDL036C	PUS9	87.03	81.95	53.67	67.45	41.34	33.36	84.49	60.56	37.35	0.31	0.25	0.15
YDL034W	NA	58.81	55.87	47.05	70.57	61.75	97.04	57.34	58.81	79.39	0.21	0.24	0.33
YDL035C	GPR1	155.11	159.77	150.09	147.23	202.04	193.8	157.44	148.66	197.92	0.58	0.6	0.82
YDL032W	NA	35.53	35.53	19.38	12.92	16.15	16.15	35.53	16.15	16.15	0.13	0.07	0.07
YDL033C	SLM3	50.84	71.82	40.35	37.12	41.96	25.01	61.33	38.73	33.49	0.23	0.16	0.14
YDL031W	DBP10	268.09	135.24	166.84	139.31	24.8	17.67	201.66	153.08	21.24	0.74	0.62	0.09
YDL030W	PRP9	78.99	71.98	51.6	56.06	63.07	31.21	75.49	53.83	47.14	0.28	0.22	0.2
YDL029W	ARP2	883.82	972.54	963.07	951.01	1059.55	987.19	928.18	957.04	1023.37	3.43	3.88	4.24
YDL028C	MPS1	92.2	93.96	69.81	76.84	89.13	90.89	93.08	73.32	90.01	0.34	0.3	0.37
YDL026W	NA	87.43	158.66	132.76	174.85	362.66	200.76	123.04	153.8	281.71	0.45	0.62	1.17
YDL027C	NA	186.25	250.2	227.82	270.98	512.39	280.58	218.23	249.4	396.48	0.81	1.01	1.64
YDL025W-A	NA	299.16	386.01	202.65	241.25	752.71	405.31	342.58	221.95	579.01	1.26	0.9	2.4
YDL025C	NA	200.81	249.66	222.52	209.5	387.52	353.87	225.24	216.01	370.69	0.83	0.88	1.54
YDL024C	DIA3	8.61	12.2	10.05	6.46	68.9	51.67	10.41	8.25	60.29	0.04	0.03	0.25
YDL022C-A	NA	0	16.3	4.08	4.08	24.45	20.38	8.15	4.08	22.41	0.03	0.02	0.09
YDL022W	GPD1	585.51	889.91	1177.92	1121.87	3043.12	2787.01	737.71	1149.9	2915.06	2.72	4.67	12.08
YDL023C	NA	340.87	511.31	640.72	624.93	1552.87	1562.34	426.09	632.82	1557.6	1.57	2.57	6.45
YDL021W	GPM2	96.33	324.7	127.72	134.21	996.84	521.69	210.52	130.96	759.27	0.78	0.53	3.15
YDL020C	RPN4	139.65	191.46	171.24	130.8	1176.56	730.45	165.55	151.02	953.5	0.61	0.61	3.95
YDL019C	OSH2	166.23	161.26	184.82	175.66	285.87	379.33	163.75	180.24	332.6	0.6	0.73	1.38
YDL018C	ERP3	156.11	197.75	193.28	156.11	521.87	202.21	176.93	174.7	362.04	0.65	0.71	1.5
YDL017W	CDC7	43.19	54.49	39.2	44.52	53.82	43.19	48.84	41.86	48.51	0.18	0.17	0.2
YDL016C	NA	263.59	286.95	236.9	293.62	380.37	190.18	275.27	265.26	285.28	1.02	1.08	1.18
YDL015C	TSC13	931.49	890.33	902.25	909.83	916.33	724.61	910.91	906.04	820.47	3.36	3.68	3.4
YDL014W	NOP1	2063.94	1321.7	1728.11	1399.11	162.79	43.26	1692.82	1563.61	103.03	6.25	6.35	0.43
YDL013W	SLX5	100.03	90.19	77.08	66.69	98.39	81.45	95.11	71.88	89.92	0.35	0.29	0.37
YDL012C	NA	394.98	373.04	470.22	388.71	282.13	200.63	384.01	429.47	241.38	1.42	1.74	1
YDL010W	NA	303.24	294.5	253.68	225.97	345.52	193.9	298.87	239.83	269.71	1.1	0.97	1.12
YDL011C	NA	241.16	181.65	169.12	172.26	209.84	134.67	211.41	170.69	172.26	0.78	0.69	0.71
YDL009C	NA	394.83	347.83	347.83	228.75	438.7	235.02	371.33	288.29	336.86	1.37	1.17	1.4
YDL008W	APC11	207.62	177.08	183.19	185.23	225.94	124.16	192.35	184.21	175.05	0.71	0.75	0.73
YDL007C-A	NA	0	0	0	0	0	15.73	0	0	7.86	0	0	0.03
YDL007W	RPT2	850.28	662.61	746.79	774.59	1210.93	868.04	756.44	760.69	1039.48	2.79	3.09	4.31
YDL006W	PTC1	159.58	166.77	148.78	140.38	183.57	100.78	163.18	144.58	142.18	0.6	0.59	0.59
YDL005C	MED2	275.06	261.03	260.25	253.24	288.3	238.43	268.04	256.74	263.37	0.99	1.04	1.09
YDL004W	ATP16	721.38	905.38	928.38	1078.93	1662.31	1166.75	813.38	1003.66	1414.53	3	4.07	5.86
YDL003W	MCD1	238.46	197.92	218.19	182.42	93.6	49.48	218.19	200.31	71.54	0.81	0.81	0.3
YDL002C	NHP10	197.04	205.25	201.97	188.83	325.12	169.13	201.15	195.4	247.13	0.74	0.79	1.02
YDL001W	RMD1	98.71	86.18	90.88	71.29	68.94	52.49	92.45	81.09	60.72	0.34	0.33	0.25
YDR001C	NTH1	270.78	466.56	363.28	428.84	1874.34	1936.31	368.67	396.06	1905.32	1.36	1.61	7.89
YDR002W	YRB1	2668.72	2337.86	2342.9	2235.41	3308.61	2485.65	2503.29	2289.15	2897.13	9.24	9.29	12
YDR003W	RCR2	181.14	147.48	181.14	182.74	447.23	264.49	164.31	181.94	355.86	0.61	0.74	1.47
YDR003W-A	NA	247.85	198.28	206.54	256.11	817.9	404.82	223.06	231.33	611.36	0.82	0.94	2.53
YDR004W	RAD57	86.43	111.33	75.44	61.52	125.98	70.31	98.88	68.48	98.14	0.37	0.28	0.41
YDR005C	MAF1	246.66	244.11	237.3	235.6	341.92	198.18	245.38	236.45	270.05	0.91	0.96	1.12
YDR006C	SOK1	139.79	130.44	137.92	119.6	134.55	168.57	135.11	128.76	151.56	0.5	0.52	0.63
YDR007W	TRP1	243.59	287.2	285.7	293.21	592.44	269.16	265.4	289.46	430.8	0.98	1.17	1.78
YDR008C	NA	254.76	243.18	280.82	289.51	555.85	251.87	248.97	285.16	403.86	0.92	1.16	1.67
YDR009W	GAL3	20.07	19.42	23.95	17.48	27.19	23.95	19.75	20.72	25.57	0.07	0.08	0.11
YDR010C	NA	9.13	27.4	21.31	9.13	21.31	12.18	18.27	15.22	16.75	0.07	0.06	0.07
YDR011W	SNQ2	276.22	297.79	272.62	274.65	462.31	651.1	287.01	273.63	556.71	1.06	1.11	2.31
YDR012W	RPL4B	3749.61	2644.59	2570.1	1514.74	831.87	235.9	3197.1	2042.42	533.89	11.8	8.29	2.21
YDR013W	PSF1	122.7	158.22	98.49	119.48	74.27	58.12	140.46	108.98	66.2	0.52	0.44	0.27
YDR014W	RAD61	45.22	46.78	41.06	32.23	41.58	36.9	46	36.64	39.24	0.17	0.15	0.16
YDR014W-A	HED1	2.08	4.16	6.24	4.16	24.95	14.56	3.12	5.2	19.76	0.01	0.02	0.08
YDR015C	NA	4.25	8.5	0	4.25	25.49	8.5	6.37	2.12	16.99	0.02	0.01	0.07
YDR016C	DAD1	339.12	356.79	423.9	310.86	558.14	335.59	347.95	367.38	446.86	1.28	1.49	1.85
YDR017C	KCS1	146.53	164.12	116.46	103.98	81.58	74.54	155.33	110.22	78.06	0.57	0.45	0.32
YDR018C	NA	11.03	16.96	13.57	23.75	153.5	90.75	13.99	18.66	122.12	0.05	0.08	0.51
YDR019C	GCV1	1380.38	1268.98	1458.28	1228.77	689.35	479.11	1324.68	1343.52	584.23	4.89	5.45	2.42
YDR020C	NA	110.79	84.89	76.26	69.06	21.58	18.71	97.84	72.66	20.14	0.36	0.29	0.08
YDR021W	FAL1	78.48	36.29	50.63	33.76	7.59	7.59	57.38	42.19	7.59	0.21	0.17	0.03
YDR022C	CIS1	119.14	108.93	124.25	86.8	275.73	248.49	114.03	105.52	262.11	0.42	0.43	1.09
YDR023W	SES1	1821.42	1488.93	1622.36	1634.76	604.47	462.28	1655.17	1628.56	533.37	6.11	6.61	2.21
YDR024W	FYV1	164.33	85.28	128.97	108.16	27.04	24.96	124.8	118.56	26	0.46	0.48	0.11
YDR025W	RPS11A	6600.83	4869.26	5641.17	4247.57	963.84	509.04	5735.05	4944.37	736.44	21.17	20.07	3.05
YDR026C	NA	146.15	132.65	106.83	79.83	85.11	41.67	139.4	93.33	63.39	0.51	0.38	0.26
YDR027C	VPS54	112.34	128.17	119.12	105.93	183.21	144	120.25	112.53	163.61	0.44	0.46	0.68
YDR028C	REG1	359.54	343.98	314.84	343.65	372.45	420.45	351.76	329.25	396.45	1.3	1.34	1.64
YDR029W	NA	143.75	111.81	121.39	127.78	198.06	169.31	127.78	124.58	183.68	0.47	0.51	0.76
YDR030C	RAD28	36.39	43.67	35.07	15.88	77.42	44.34	40.03	25.48	60.88	0.15	0.1	0.25
YDR031W	MIC14	177.57	241.39	255.26	283.01	879.54	463.35	209.48	269.13	671.45	0.77	1.09	2.78
YDR032C	PST2	1699.13	2210.06	2009.76	1929.98	4223.21	3108	1954.59	1969.87	3665.61	7.22	8	15.19
YDR033W	MRH1	5250.07	7606.08	4782.49	5044.04	2860.96	2176.67	6428.08	4913.26	2518.82	23.73	19.94	10.44
YDR034C	LYS14	127.52	160.67	95.21	81.19	96.06	92.66	144.1	88.2	94.36	0.53	0.36	0.39
YDR034C-A	NA	38.96	0	0	0	19.48	0	19.48	0	9.74	0.07	0	0.04
YDR034W-B	NA	6.46	12.92	12.92	0	2138.93	1105.01	9.69	6.46	1621.97	0.04	0.03	6.72
YDR035W	ARO3	867.17	1742.55	790.58	866.26	411.25	329.18	1304.86	828.42	370.21	4.82	3.36	1.53
YDR036C	EHD3	197.75	159.41	189.01	166.14	168.83	164.79	178.58	177.57	166.81	0.66	0.72	0.69
YDR037W	KRS1	1968	1815.43	1726.29	1669.71	368.57	312	1891.71	1698	340.29	6.98	6.89	1.41
YDR038C	ENA5	122.66	196.25	179.9	106.3	122.66	40.89	159.45	143.1	81.77	0.59	0.58	0.34
YDR039C	ENA2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YDR040C	ENA1	13.72	27.44	3.43	20.58	48.02	68.6	20.58	12.01	58.31	0.08	0.05	0.24
YDR041W	RSM10	377.46	344.35	443.68	405.6	592.67	374.15	360.9	424.64	483.41	1.33	1.72	2
YDR042C	NA	18.43	10.05	20.1	3.35	13.4	8.38	14.24	11.73	10.89	0.05	0.05	0.05
YDR043C	NRG1	75.29	86.87	83.98	85.42	412.64	220.08	81.08	84.7	316.36	0.3	0.34	1.31
YDR044W	HEM13	317.1	3603.03	334.54	379.7	188.82	163.17	1960.06	357.12	176	7.24	1.45	0.73
YDR045C	RPC11	430.3	275.76	339.39	248.48	145.45	93.94	353.03	293.94	119.7	1.3	1.19	0.5
YDR046C	BAP3	405.31	601.55	428.16	296.03	129.34	83.63	503.43	362.1	106.48	1.86	1.47	0.44
YDR047W	HEM12	528.09	599.93	532.75	487.97	380.67	325.62	564.01	510.36	353.15	2.08	2.07	1.46
YDR049W	NA	111.33	105.98	87.24	80.29	67.98	66.37	108.65	83.76	67.17	0.4	0.34	0.28
YDR048C	NA	48.26	28.96	28.96	28.96	19.31	57.92	38.61	28.96	38.61	0.14	0.12	0.16
YDR050C	TPI1	26658.53	27607.52	25194.37	23705.81	18917.47	15431.96	27133.03	24450.09	17174.71	100.16	99.25	71.16
YDR051C	NA	232.5	219.48	212.46	199.43	266.58	168.36	225.99	205.95	217.47	0.83	0.84	0.9
YDR053W	NA	109.6	127.44	94.31	99.41	56.07	107.05	118.52	96.86	81.56	0.44	0.39	0.34
YDR052C	DBF4	164.43	161.57	159.19	143.46	128.68	122.96	163	151.32	125.82	0.6	0.61	0.52
YDR054C	CDC34	412.32	455.49	517.96	479.34	699.7	499.79	433.91	498.65	599.74	1.6	2.02	2.48
YDR055W	PST1	476.45	646.34	410	343.56	1382.54	908.35	561.4	376.78	1145.45	2.07	1.53	4.75
YDR056C	NA	527.33	784.48	460.6	460.6	362.95	278.31	655.91	460.6	320.63	2.42	1.87	1.33
YDR057W	YOS9	79.03	110.14	89.6	74.05	82.76	60.36	94.58	81.83	71.56	0.35	0.33	0.3
YDR058C	TGL2	92.56	117.24	78.16	74.05	229.34	167.63	104.9	76.1	198.48	0.39	0.31	0.82
YDR059C	UBC5	156.97	179.72	152.42	159.24	345.78	220.66	168.34	155.83	283.22	0.62	0.63	1.17
YDR060W	MAK21	432.15	223.98	249.67	230.9	26.35	11.86	328.06	240.28	19.1	1.21	0.98	0.08
YDR061W	NA	147.32	166.75	154.21	129.76	164.87	110.33	157.03	141.99	137.6	0.58	0.58	0.57
YDR062W	LCB2	871.16	744.56	738.56	707.36	407.38	367.18	807.86	722.96	387.28	2.98	2.93	1.6
YDR063W	NA	430.87	460.19	439.89	446.66	882.04	588.78	445.53	443.27	735.41	1.64	1.8	3.05
YDR064W	RPS13	9975.61	8093.13	8341.46	6736.14	2549.89	1920.18	9034.37	7538.8	2235.03	33.35	30.6	9.26
YDR065W	NA	55.35	76.57	55.35	38.74	47.97	40.59	65.96	47.05	44.28	0.24	0.19	0.18
YDR066C	NA	71.61	97.19	73.32	54.56	104.01	54.56	84.4	63.94	79.28	0.31	0.26	0.33
YDR067C	NA	162.52	184.89	126.74	125.25	250.5	140.16	173.71	125.99	195.33	0.64	0.51	0.81
YDR068W	DOS2	362.23	280.4	302.22	305.5	325.14	218.21	321.32	303.86	271.67	1.19	1.23	1.13
YDR069C	DOA4	64.61	77.31	68.96	67.51	109.62	132.12	70.96	68.24	120.87	0.26	0.28	0.5
YDR070C	NA	25.06	229.15	71.61	157.54	3723.71	2259.29	127.11	114.58	2991.5	0.47	0.47	12.39
YDR071C	PAA1	1165.52	1006.27	1205.78	997.52	1450.78	829.52	1085.9	1101.65	1140.15	4.01	4.47	4.72
YDR072C	IPT1	326.94	335.89	397.95	303.9	260.4	147.79	331.41	350.93	204.09	1.22	1.42	0.85
YDR073W	SNF11	284.57	286.71	263.17	233.22	442.9	220.38	285.64	248.19	331.64	1.05	1.01	1.37
YDR074W	TPS2	243.83	431.59	578.34	691.6	2341.56	2781.05	337.71	634.97	2561.31	1.25	2.58	10.61
YDR075W	PPH3	99.55	113.78	86.43	92.99	40.48	12.03	106.66	89.71	26.26	0.39	0.36	0.11
YDR076W	RAD55	50.61	59.74	34.02	26.55	48.95	33.19	55.18	30.29	41.07	0.2	0.12	0.17
YDR077W	SED1	9042.74	14540.69	11766.17	10875.39	16162.44	17142.29	11791.71	11320.78	16652.37	43.53	45.95	69
YDR078C	SHU2	101.84	79.38	74.88	50.92	110.83	38.94	90.61	62.9	74.88	0.33	0.26	0.31
YDR079W	PET100	290.58	360.2	281.5	354.14	665.91	320.85	325.39	317.82	493.38	1.2	1.29	2.04
YDR079C-A	TFB5	192.99	119.47	192.99	170.02	372.2	151.64	156.23	181.5	261.92	0.58	0.74	1.09
YDR080W	VPS41	95.06	82.79	80.41	65.76	119.59	116.18	88.93	73.08	117.89	0.33	0.3	0.49
YDR081C	PDC2	138.66	127.77	106.35	97.64	59.17	58.8	133.21	102	58.98	0.49	0.41	0.24
YDR082W	STN1	60.67	88.63	64.77	53.86	44.99	38.86	74.65	59.31	41.93	0.28	0.24	0.17
YDR083W	RRP8	331.62	163.66	205	199.83	23.26	17.23	247.64	202.42	20.24	0.91	0.82	0.08
YDR084C	TVP23	307.02	366.06	318.83	418.36	479.09	323.89	336.54	368.59	401.49	1.24	1.5	1.66
YDR085C	AFR1	53.55	76.27	93.58	90.33	318.6	210.42	64.91	91.96	264.51	0.24	0.37	1.1
YDR086C	SSS1	2681.82	2371.9	2462.81	2276.86	2206.61	1227.27	2526.86	2369.83	1716.94	9.33	9.62	7.11
YDR087C	RRP1	254.81	146.63	159.86	139.42	18.03	8.41	200.72	149.64	13.22	0.74	0.61	0.05
YDR088C	SLU7	127.7	112.83	116.33	97.08	138.19	101.46	120.26	106.71	119.83	0.44	0.43	0.5
YDR089W	NA	176.34	176.34	194.13	143.08	111.76	88.94	176.34	168.61	100.35	0.65	0.68	0.42
YDR090C	NA	110.5	118.08	132.17	95.33	75.83	74.75	114.29	113.75	75.29	0.42	0.46	0.31
YDR091C	RLI1	448.31	316.36	340.1	291.51	41.96	36.44	382.33	315.8	39.2	1.41	1.28	0.16
YDR092W	UBC13	511.25	577.07	471.75	489.3	664.84	419.09	544.16	480.53	541.96	2.01	1.95	2.25
