# Velculescu et al. 1997, via Lu et al. 2007
orf	sage
YDR532C	NA
YDR533C	NA
YDR534C	NA
YDR535C	NA
YDR536W	NA
YDR537C	NA
YDR538W	NA
YDR539W	NA
YDR540C	NA
YDR541C	2
YDR542W	NA
YDR543C	NA
YDR544C	NA
YDR545W	NA
YEL001C	5
YEL002C	2
YEL003W	NA
YEL004W	NA
YEL005C	NA
YEL006W	2
YEL007W	NA
YEL008W	NA
YEL009C	18
YEL010W	NA
YEL011W	4
YEL012W	1
YEL013W	1
YEL014C	NA
YEL015W	1
YEL016C	NA
YEL017C-A	57
YEL017W	NA
YEL018W	10
YEL019C	NA
YEL020C	NA
YEL020W-A	NA
YEL021W	NA
YEL022W	2
YEL023C	NA
YEL024W	4
YEL025C	NA
YEL026W	NA
YEL027W	NA
YEL028W	NA
YEL029C	1
YEL030W	NA
YEL031W	9
YEL032W	NA
YEL033W	48
YEL034W	2
YEL035C	NA
YEL036C	2
YEL037C	1
YEL038W	2
YEL039C	NA
YEL040W	7
YEL041W	NA
YEL042W	2
YEL043W	NA
YEL044W	NA
YEL045C	1
YEL046C	4
YEL047C	NA
YEL048C	2
YEL049W	NA
YEL050C	NA
YEL051W	NA
YEL052W	NA
YEL053C	NA
YEL054C	10
YEL055C	1
YEL056W	3
YEL057C	NA
YEL058W	6
YEL059C-A	NA
YEL059W	NA
YEL060C	2
YEL061C	NA
YEL062W	NA
YEL063C	1
YEL064C	NA
YEL065W	1
YEL066W	1
YEL067C	NA
YEL068C	NA
YEL069C	NA
YEL070W	1
YEL071W	4
YEL072W	NA
YEL073C	1
YEL074W	NA
YEL075C	NA
YEL075W-A	NA
YEL076C	NA
YEL076C-A	NA
YEL077C	NA
YER001W	NA
YER002W	NA
YER003C	1
YER004W	1
YER005W	NA
YER006W	6
YER007C-A	9
YER007W	NA
YER008C	1
YER009W	9
YER010C	NA
YER011W	1
YER012W	6
YER013W	NA
YER014C-A	NA
YER014W	NA
YER015W	1
YER016W	NA
YER017C	NA
YER018C	NA
YER019C-A	NA
YER019W	NA
YER020W	3
YER021W	3
YER022W	NA
YER023W	3
YER024W	1
YER025W	4
YER026C	10
YER027C	1
YER028C	NA
YER029C	NA
YER030W	3
YER031C	2
YER032W	1
YER033C	NA
YER034W	1
YER035W	NA
YER036C	4
YER037W	4
YER038C	NA
YER039C	NA
YER039C-A	NA
YER040W	NA
YER041W	NA
YER042W	1
YER043C	31
YER044C	14
YER044C-A	NA
YER045C	3
YER046W	NA
YER047C	NA
YER048C	NA
YER048W-A	3
YER049W	NA
YER050C	1
YER051W	NA
YER052C	4
YER053C	3
YER053C-A	NA
YER054C	NA
YER055C	8
YER056C	6
YER056C-A	16
YER057C	NA
YER058W	NA
YER059W	2
YER060W	NA
YER060W-A	NA
YER061C	NA
YER062C	NA
YER063W	1
YER064C	1
YER066C-A	NA
YER066W	NA
YER067W	NA
YER068W	NA
YER069W	NA
YER070W	NA
YER071C	NA
YER072W	NA
YER073W	1
YER074W	NA
YER074W-A	NA
YER075C	NA
YER076C	NA
YER077C	1
YER078C	1
YER079W	NA
YER080W	3
YER081W	NA
YER082C	NA
YER083C	1
YER084W	NA
YER085C	NA
YER086W	1
YER087C-B	1
YER087W	NA
YER088C	2
YER089C	4
YER090W	NA
YER091C-A	NA
YER092W	2
YER093C	2
YER093C-A	NA
YER094C	NA
YER095W	1
YER096W	NA
YER097W	NA
YER098W	NA
YER099C	1
YER100W	NA
YER101C	NA
YER102W	NA
YER103W	NA
YER104W	NA
YER105C	1
YER106W	NA
YER107C	2
YER109C	NA
YER110C	NA
YER111C	1
YER112W	NA
YER113C	NA
YER114C	NA
YER115C	NA
YER116C	1
YER117W	63
YER118C	NA
YER119C	1
YER119C-A	NA
YER120W	NA
YER121W	NA
YER122C	NA
YER123W	NA
YER124C	4
YER125W	NA
YER126C	4
YER127W	1
YER128W	1
YER129W	NA
YER130C	NA
YER131W	1
YER132C	1
YER133W	8
YER134C	NA
YER135C	1
YER136W	2
YER137C	NA
YER137C-A	NA
YER138C	NA
YER138W-A	6
YER139C	NA
YER140W	1
YER141W	NA
YER142C	1
YER143W	NA
YER144C	NA
YER145C	1
YER146W	2
YER147C	NA
YER148W	2
YER149C	NA
YER150W	2
YER151C	NA
YER152C	2
YER153C	NA
YER154W	NA
YER155C	3
YER156C	5
YER157W	NA
YER158C	NA
YER159C	2
YER159C-A	NA
YER160C	NA
YER161C	1
YER162C	1
YER163C	1
YER164W	3
YER166W	NA
YER167W	NA
YER168C	NA
YER169W	NA
YER170W	NA
YER171W	1
YER172C	1
YER173W	2
YER174C	NA
YER175C	NA
YER176W	NA
YER178W	14
YER179W	NA
YER180C	NA
YER181C	NA
YER182W	NA
YER183C	NA
YER184C	1
YER185W	NA
YER186C	1
YER187W	NA
YER188W	NA
YER189W	NA
YER190W	NA
YFL001W	NA
YFL002C	2
YFL002W-A	NA
YFL002W-B	NA
YFL003C	NA
YFL004W	7
YFL005W	13
YFL006W	1
YFL007W	NA
YFL008W	NA
YFL009W	2
YFL010C	1
YFL010W-A	NA
YFL011W	NA
YFL012W	NA
YFL012W-A	NA
YFL013C	1
YFL014W	3
YFL015C	NA
YFL016C	2
YFL017C	NA
YFL017W-A	NA
YFL018C	3
YFL019C	NA
YFL020C	NA
YFL021W	2
YFL022C	NA
YFL023W	NA
YFL024C	1
YFL025C	NA
YFL026W	2
YFL027C	NA
YFL028C	3
YFL029C	NA
YFL030W	NA
YFL031W	9
YFL032W	NA
YFL033C	2
YFL034C-A	NA
YFL034C-B	NA
YFL034W	1
YFL036W	4
YFL037W	NA
YFL038C	4
YFL040W	NA
YFL041W	1
YFL042C	NA
YFL044C	2
YFL045C	NA
YFL046W	1
YFL047W	NA
YFL048C	NA
YFL049W	2
YFL050C	NA
YFL051C	NA
YFL052W	NA
YFL053W	NA
YFL054C	NA
YFL055W	NA
YFL056C	NA
YFL057C	NA
YFL058W	NA
YFL059W	NA
YFL060C	NA
YFL061W	NA
YFL062W	NA
YFL063W	NA
YFL064C	NA
YFL065C	NA
YFL066C	NA
YFL067W	NA
YFL068W	NA
YFR001W	1
YFR002W	1
YFR003C	NA
YFR004W	1
YFR005C	NA
YFR006W	1
YFR007W	NA
YFR008W	NA
YFR009W	1
YFR010W	2
YFR011C	NA
YFR012W	NA
YFR012W-A	NA
YFR013W	NA
YFR014C	5
YFR015C	7
YFR016C	NA
YFR017C	NA
YFR018C	NA
YFR019W	NA
YFR020W	1
YFR021W	NA
YFR022W	NA
YFR023W	NA
YFR024C	2
YFR024C-A	NA
YFR025C	1
YFR026C	NA
YFR027W	NA
YFR028C	NA
YFR029W	NA
YFR030W	1
YFR031C	1
YFR031C-A	NA
YFR032C	NA
YFR032C-A	16
YFR033C	2
YFR034C	NA
YFR035C	NA
YFR036W	NA
YFR037C	6
YFR038W	NA
YFR039C	NA
YFR040W	1
YFR041C	1
YFR042W	NA
YFR043C	1
YFR044C	9
YFR045W	NA
YFR046C	NA
YFR047C	2
YFR048W	1
YFR049W	NA
YFR050C	5
YFR051C	3
YFR052W	3
YFR053C	4
YFR054C	NA
YFR055W	1
YFR056C	NA
YFR057W	NA
YGL001C	1
YGL002W	1
YGL003C	NA
YGL004C	NA
YGL005C	1
YGL006W	3
YGL007W	NA
YGL008C	5
YGL009C	32
YGL010W	NA
YGL011C	18
YGL012W	12
YGL013C	1
YGL014W	2
YGL015C	NA
YGL016W	NA
YGL017W	NA
YGL018C	NA
YGL019W	3
YGL020C	NA
YGL021W	NA
YGL022W	4
YGL023C	1
YGL024W	NA
YGL025C	NA
YGL027C	2
YGL028C	NA
YGL029W	1
YGL030W	NA
YGL031C	NA
YGL032C	NA
YGL033W	NA
YGL034C	NA
YGL035C	NA
YGL036W	NA
YGL037C	12
YGL038C	NA
YGL039W	NA
YGL040C	3
YGL041C	NA
YGL042C	NA
YGL043W	NA
YGL044C	NA
YGL045W	NA
YGL046W	NA
YGL047W	1
YGL048C	3
YGL049C	2
YGL050W	NA
YGL051W	NA
YGL052W	NA
YGL053W	2
YGL054C	11
YGL055W	38
YGL056C	NA
YGL057C	NA
YGL058W	NA
YGL059W	2
YGL060W	NA
YGL061C	NA
YGL063W	1
YGL064C	NA
YGL065C	NA
YGL066W	NA
YGL067W	2
YGL068W	NA
YGL069C	NA
YGL070C	1
YGL071W	NA
YGL072C	NA
YGL073W	NA
YGL074C	NA
YGL075C	NA
YGL076C	57
YGL077C	1
YGL078C	4
YGL079W	NA
YGL080W	2
YGL081W	NA
YGL082W	NA
YGL083W	1
YGL084C	NA
YGL085W	NA
YGL086W	2
YGL087C	1
YGL088W	2
YGL089C	NA
YGL090W	NA
YGL091C	5
YGL092W	NA
YGL093W	NA
YGL094C	NA
YGL095C	NA
YGL096W	NA
YGL097W	2
YGL098W	1
YGL099W	NA
YGL100W	4
YGL101W	2
YGL102C	2
YGL103W	40
YGL104C	NA
YGL105W	7
YGL106W	6
YGL107C	NA
YGL108C	NA
YGL109W	NA
YGL110C	1
YGL111W	1
YGL112C	NA
YGL113W	NA
YGL114W	NA
YGL115W	1
YGL116W	1
YGL117W	2
YGL118C	NA
YGL119W	1
YGL120C	2
YGL121C	1
YGL122C	1
YGL123W	86
YGL124C	NA
YGL125W	1
YGL126W	2
YGL127C	NA
YGL128C	NA
YGL129C	NA
YGL130W	NA
YGL131C	1
YGL132W	NA
YGL133W	NA
YGL134W	NA
YGL135W	NA
YGL136C	NA
YGL137W	2
YGL138C	NA
YGL139W	NA
YGL140C	1
YGL141W	1
YGL142C	1
YGL143C	NA
YGL144C	NA
YGL145W	NA
YGL146C	NA
YGL147C	NA
YGL148W	1
YGL149W	NA
YGL150C	1
YGL151W	1
YGL152C	NA
YGL153W	1
YGL154C	NA
YGL155W	NA
YGL156W	1
YGL157W	2
YGL158W	NA
YGL159W	NA
YGL160W	NA
YGL161C	1
YGL162W	NA
YGL163C	1
YGL164C	NA
YGL165C	NA
YGL166W	NA
YGL167C	3
YGL168W	NA
YGL169W	NA
YGL170C	NA
YGL171W	1
YGL172W	NA
YGL173C	7
YGL174W	NA
YGL175C	NA
YGL176C	NA
YGL177W	NA
YGL178W	NA
YGL179C	NA
YGL180W	1
YGL181W	NA
YGL182C	NA
YGL183C	NA
YGL184C	NA
YGL185C	NA
YGL186C	1
YGL187C	NA
YGL188C	1
YGL189C	NA
YGL190C	1
YGL191W	3
YGL192W	1
YGL193C	NA
YGL194C	NA
YGL195W	4
YGL196W	NA
YGL197W	NA
YGL198W	NA
YGL199C	NA
YGL200C	4
YGL201C	NA
YGL202W	5
YGL203C	3
YGL204C	NA
YGL205W	NA
YGL206C	1
YGL207W	3
YGL208W	NA
YGL209W	NA
YGL210W	1
YGL211W	3
YGL212W	NA
YGL213C	2
YGL214W	NA
YGL215W	1
YGL216W	1
YGL217C	NA
YGL218W	NA
YGL219C	1
YGL220W	4
YGL221C	2
YGL222C	NA
YGL223C	NA
YGL224C	1
YGL225W	NA
YGL226C-A	1
YGL226W	NA
YGL227W	NA
YGL228W	1
YGL229C	NA
YGL230C	NA
YGL231C	1
YGL232W	2
YGL233W	1
YGL235W	NA
YGL236C	NA
YGL237C	1
YGL238W	4
YGL239C	NA
YGL240W	NA
YGL241W	NA
YGL242C	4
YGL243W	NA
YGL244W	2
YGL245W	9
YGL246C	2
YGL247W	1
YGL248W	NA
YGL249W	NA
YGL250W	NA
YGL251C	NA
YGL252C	2
YGL253W	13
YGL254W	1
YGL255W	NA
YGL256W	NA
YGL257C	1
YGL258W	NA
YGL258W-A	NA
YGL259W	NA
YGL260W	NA
YGL261C	NA
YGL262W	NA
YGL263W	NA
YGR001C	6
YGR002C	NA
YGR003W	NA
YGR004W	NA
YGR005C	1
YGR006W	NA
YGR007W	1
YGR008C	17
YGR009C	1
YGR010W	NA
YGR011W	1
YGR012W	NA
YGR013W	1
YGR014W	NA
YGR015C	1
YGR016W	1
YGR017W	5
YGR018C	NA
YGR019W	1
YGR020C	1
YGR021W	NA
YGR022C	NA
YGR023W	1
YGR024C	4
YGR025W	NA
YGR026W	2
YGR027C	100
YGR027W-A	NA
YGR027W-B	NA
YGR028W	3
YGR029W	NA
YGR030C	NA
YGR031W	2
YGR032W	1
YGR033C	2
YGR034W	NA
YGR035C	2
YGR036C	NA
YGR037C	10
YGR038C-A	NA
YGR038C-B	NA
YGR038W	1
YGR039W	NA
YGR040W	NA
YGR041W	1
YGR042W	2
YGR043C	1
YGR044C	NA
YGR045C	NA
YGR046W	NA
YGR047C	NA
YGR048W	2
YGR049W	2
YGR050C	NA
YGR051C	NA
YGR052W	NA
YGR053C	NA
YGR054W	2
YGR055W	NA
YGR056W	NA
YGR057C	NA
YGR058W	NA
YGR059W	NA
YGR060W	25
YGR061C	1
YGR062C	NA
YGR063C	NA
YGR064W	NA
YGR065C	NA
YGR066C	NA
YGR067C	NA
YGR068C	NA
YGR069W	NA
YGR070W	1
YGR071C	NA
YGR072W	NA
YGR073C	NA
YGR074W	NA
YGR075C	NA
YGR076C	3
YGR077C	NA
YGR078C	NA
YGR079W	NA
YGR080W	2
YGR081C	NA
YGR082W	3
YGR083C	NA
YGR084C	NA
YGR085C	NA
YGR086C	11
YGR087C	NA
YGR088W	NA
YGR089W	2
YGR090W	2
YGR091W	NA
YGR092W	2
YGR093W	1
YGR094W	2
YGR095C	1
YGR096W	1
YGR097W	1
YGR098C	1
YGR099W	NA
YGR100W	NA
YGR101W	4
YGR102C	NA
YGR103W	7
YGR104C	NA
YGR105W	NA
YGR106C	4
YGR107W	NA
YGR108W	NA
YGR109C	NA
YGR109W-A	NA
YGR109W-B	NA
YGR110W	NA
YGR111W	NA
YGR112W	NA
YGR113W	NA
YGR114C	NA
YGR115C	1
YGR116W	2
YGR117C	NA
YGR118W	67
YGR119C	1
YGR120C	NA
YGR121C	1
YGR122C-A	NA
YGR122W	NA
YGR123C	1
YGR124W	11
YGR125W	2
YGR126W	NA
YGR127W	NA
YGR128C	3
YGR129W	NA
YGR130C	2
YGR131W	NA
YGR132C	1
YGR133W	NA
YGR134W	NA
YGR135W	1
YGR136W	NA
YGR137W	3
YGR138C	NA
YGR139W	NA
YGR140W	1
YGR141W	NA
YGR142W	5
YGR143W	1
YGR145W	2
YGR146C	1
YGR147C	NA
YGR148C	NA
YGR149W	3
YGR150C	1
YGR151C	2
YGR152C	NA
YGR153W	NA
YGR154C	NA
YGR155W	NA
YGR156W	NA
YGR157W	3
YGR158C	NA
YGR159C	11
YGR160W	NA
YGR161C	1
YGR161C-C	NA
YGR161C-D	NA
YGR161W-A	NA
YGR161W-B	NA
YGR162W	4
YGR163W	NA
YGR164W	NA
YGR165W	NA
YGR166W	NA
YGR167W	2
YGR168C	2
YGR169C	NA
YGR170W	NA
YGR171C	NA
YGR172C	NA
YGR173W	NA
YGR174C	NA
YGR175C	10
YGR176W	NA
YGR177C	1
YGR178C	3
YGR179C	NA
YGR181W	NA
YGR182C	NA
YGR183C	9
YGR184C	NA
YGR185C	3
YGR186W	5
YGR187C	NA
YGR188C	NA
YGR189C	2
YGR190C	NA
YGR191W	NA
YGR193C	2
YGR194C	NA
YGR195W	2
YGR196C	NA
YGR197C	1
YGR198W	NA
YGR199W	1
YGR200C	NA
YGR201C	NA
YGR202C	NA
YGR203W	1
YGR205W	NA
YGR206W	NA
YGR207C	1
YGR208W	2
YGR209C	23
YGR210C	4
YGR211W	2
YGR212W	1
YGR213C	NA
YGR214W	NA
YGR215W	NA
YGR216C	NA
YGR217W	2
YGR218W	1
YGR219W	2
YGR220C	NA
YGR221C	NA
YGR222W	NA
YGR223C	NA
YGR224W	NA
YGR225W	NA
YGR226C	NA
YGR227W	NA
YGR228W	NA
YGR229C	4
YGR230W	NA
YGR231C	3
YGR232W	6
YGR233C	2
YGR234W	43
YGR235C	NA
YGR236C	NA
YGR237C	2
YGR238C	NA
YGR239C	NA
YGR241C	1
YGR242W	NA
YGR243W	NA
YGR244C	1
YGR245C	NA
YGR246C	2
YGR247W	2
YGR248W	1
YGR249W	NA
YGR250C	1
YGR251W	2
YGR252W	NA
YGR253C	NA
YGR255C	NA
YGR256W	NA
YGR257C	NA
YGR258C	NA
YGR259C	NA
YGR260W	NA
YGR261C	2
YGR262C	NA
YGR263C	NA
YGR264C	4
YGR265W	NA
YGR266W	2
YGR267C	4
YGR268C	NA
YGR269W	1
YGR270W	NA
YGR271C-A	NA
YGR271W	NA
YGR272C	2
YGR273C	NA
YGR274C	NA
YGR275W	2
YGR276C	1
YGR277C	NA
YGR278W	NA
YGR279C	11
YGR280C	7
YGR281W	NA
YGR282C	56
YGR283C	NA
YGR284C	3
YGR285C	11
YGR286C	NA
YGR287C	NA
YGR288W	NA
YGR289C	NA
YGR290W	NA
YGR291C	NA
YGR292W	NA
YGR293C	NA
YGR294W	NA
YGR295C	NA
YGR296W	NA
YHL001W	1
YHL002W	NA
YHL003C	3
YHL004W	NA
YHL005C	NA
YHL006C	NA
YHL007C	NA
YHL008C	NA
YHL009C	1
YHL009W-A	NA
YHL009W-B	NA
YHL010C	NA
YHL011C	NA
YHL012W	1
YHL013C	NA
YHL014C	NA
YHL015W	NA
YHL016C	NA
YHL017W	1
YHL018W	NA
YHL019C	NA
YHL020C	NA
YHL021C	5
YHL022C	1
YHL023C	NA
YHL024W	NA
YHL025W	1
YHL026C	NA
YHL027W	1
YHL028W	NA
YHL029C	1
YHL030W	2
YHL031C	NA
YHL032C	NA
YHL033C	3
YHL034C	NA
YHL035C	2
YHL036W	NA
YHL037C	NA
YHL038C	NA
YHL039W	NA
YHL040C	NA
YHL041W	NA
YHL042W	1
YHL043W	NA
YHL044W	1
YHL045W	NA
YHL046C	NA
YHL047C	1
YHL048W	NA
YHL049C	NA
YHL050C	NA
YHR001W	NA
YHR001W-A	2
YHR002W	NA
YHR003C	NA
YHR004C	1
YHR005C	NA
YHR005C-A	5
YHR006W	NA
YHR007C	11
YHR008C	5
YHR009C	NA
YHR010W	42
YHR011W	NA
YHR012W	2
YHR013C	2
YHR014W	NA
YHR015W	1
YHR016C	1
YHR017W	NA
YHR019C	10
YHR020W	5
YHR021C	80
YHR021W-A	NA
YHR022C	NA
YHR023W	1
YHR024C	NA
YHR025W	10
YHR026W	1
YHR027C	3
YHR028C	2
YHR029C	NA
YHR030C	1
YHR031C	1
YHR032W	NA
YHR033W	NA
YHR034C	NA
YHR035W	NA
YHR036W	NA
YHR037W	NA
YHR038W	NA
YHR039C	NA
YHR039C-A	NA
YHR040W	2
YHR041C	4
YHR042W	10
YHR043C	NA
YHR044C	NA
YHR045W	3
YHR046C	1
YHR047C	1
YHR048W	NA
YHR049C-A	NA
YHR049W	3
YHR050W	NA
YHR051W	NA
YHR052W	2
YHR053C	NA
YHR054C	NA
YHR055C	NA
YHR056C	NA
YHR057C	NA
YHR058C	NA
YHR059W	NA
YHR060W	NA
YHR061C	1
YHR062C	1
YHR063C	6
YHR064C	NA
YHR065C	1
YHR066W	NA
YHR067W	NA
YHR068W	7
YHR069C	2
YHR070W	1
YHR071W	3
YHR072W	1
YHR072W-A	NA
YHR073W	1
YHR074W	1
YHR075C	NA
YHR076W	1
YHR077C	NA
YHR078W	2
YHR079C	NA
YHR079C-A	NA
YHR080C	NA
YHR081W	3
YHR082C	3
YHR083W	4
YHR084W	3
YHR085W	NA
YHR086W	NA
YHR087W	2
YHR088W	2
YHR089C	13
YHR090C	NA
YHR091C	NA
YHR092C	NA
YHR093W	NA
YHR094C	1
YHR095W	NA
YHR096C	NA
YHR097C	2
YHR098C	NA
YHR099W	4
YHR100C	NA
YHR101C	NA
YHR102W	NA
YHR103W	1
YHR104W	1
YHR105W	NA
YHR106W	NA
YHR107C	1
YHR108W	2
YHR109W	NA
YHR110W	1
YHR111W	NA
YHR112C	2
YHR113W	4
YHR114W	NA
YHR115C	NA
YHR116W	NA
YHR117W	1
YHR118C	NA
YHR119W	NA
YHR120W	NA
YHR121W	3
YHR122W	NA
YHR123W	NA
YHR124W	NA
YHR125W	NA
YHR126C	NA
YHR127W	NA
YHR128W	4
YHR129C	1
YHR130C	NA
YHR131C	NA
YHR132C	NA
YHR132W-A	NA
YHR133C	2
YHR134W	1
YHR135C	NA
YHR136C	2
YHR137W	NA
YHR138C	7
YHR139C	NA
YHR139C-A	NA
YHR140W	NA
YHR141C	1
YHR142W	2
YHR143W	6
YHR143W-A	NA
YHR144C	NA
YHR145C	NA
YHR146W	10
YHR147C	1
YHR148W	NA
YHR149C	NA
YHR150W	1
YHR151C	1
YHR152W	NA
YHR153C	NA
YHR154W	NA
YHR155W	1
YHR156C	NA
YHR157W	NA
YHR158C	1
YHR159W	NA
YHR160C	NA
YHR161C	1
YHR162W	NA
YHR163W	9
YHR164C	NA
YHR165C	2
YHR166C	1
YHR167W	NA
YHR168W	NA
YHR169W	NA
YHR170W	2
YHR171W	NA
YHR172W	NA
YHR173C	NA
YHR175W	NA
YHR176W	1
YHR177W	NA
YHR178W	NA
YHR179W	11
YHR180W	1
YHR181W	NA
YHR182W	NA
YHR183W	15
YHR184W	1
YHR185C	NA
YHR186C	NA
YHR187W	NA
YHR188C	1
YHR189W	NA
YHR190W	9
YHR191C	NA
YHR192W	1
YHR193C	8
YHR194W	NA
YHR195W	NA
YHR196W	1
YHR197W	NA
YHR198C	2
YHR199C	1
YHR200W	NA
YHR201C	NA
YHR202W	NA
YHR203C	52
YHR204W	NA
YHR205W	5
YHR206W	NA
YHR207C	1
YHR208W	15
YHR209W	NA
YHR210C	NA
YHR211W	NA
YHR212C	NA
YHR213W	NA
YHR214C-B	NA
YHR214C-C	NA
YHR214W	NA
YHR214W-A	NA
YHR215W	1
YHR216W	NA
YHR218W	NA
YHR219W	NA
YIL001W	NA
YIL002C	1
YIL003W	NA
YIL004C	NA
YIL005W	1
YIL006W	NA
YIL007C	1
YIL008W	NA
YIL009C-A	NA
YIL009W	NA
YIL010W	NA
YIL011W	1
YIL012W	NA
YIL013C	NA
YIL014W	NA
YIL015W	1
YIL016W	NA
YIL017C	1
YIL018W	NA
YIL019W	NA
YIL020C	NA
YIL021W	2
YIL022W	1
YIL023C	NA
YIL024C	NA
YIL025C	NA
YIL026C	1
YIL027C	2
YIL028W	NA
YIL029C	NA
YIL030C	4
YIL031W	NA
YIL032C	NA
YIL033C	NA
YIL034C	4
YIL035C	3
YIL036W	NA
YIL037C	NA
YIL038C	NA
YIL039W	2
YIL040W	1
YIL041W	2
YIL042C	NA
YIL043C	8
YIL044C	NA
YIL045W	1
YIL046W	NA
YIL047C	1
YIL048W	NA
YIL049W	NA
YIL050W	NA
YIL051C	NA
YIL052C	NA
YIL054W	NA
YIL055C	NA
YIL056W	1
YIL057C	NA
YIL058W	NA
YIL059C	NA
YIL060W	NA
YIL061C	NA
YIL062C	NA
YIL063C	NA
YIL064W	1
YIL065C	1
YIL066C	NA
YIL067C	NA
YIL068C	2
YIL069C	NA
YIL070C	NA
YIL071C	NA
YIL072W	NA
YIL073C	NA
YIL074C	NA
YIL075C	3
YIL076W	5
YIL077C	2
YIL078W	23
YIL079C	NA
YIL082W	NA
YIL082W-A	NA
YIL083C	1
YIL084C	NA
YIL085C	NA
YIL086C	NA
YIL087C	NA
YIL088C	NA
YIL089W	NA
YIL090W	2
YIL091C	1
YIL092W	1
YIL093C	NA
YIL094C	NA
YIL095W	NA
YIL096C	1
YIL097W	NA
YIL098C	2
YIL099W	NA
YIL100W	NA
YIL101C	NA
YIL102C	NA
YIL103W	2
YIL104C	NA
YIL105C	2
YIL106W	NA
YIL107C	3
YIL108W	1
YIL109C	NA
YIL110W	NA
YIL111W	4
YIL112W	4
YIL113W	NA
YIL114C	NA
YIL115C	7
YIL116W	2
YIL117C	4
YIL118W	3
YIL119C	NA
YIL120W	NA
YIL121W	NA
YIL122W	1
YIL123W	3
YIL124W	3
YIL125W	NA
YIL126W	NA
YIL127C	1
YIL128W	1
YIL129C	NA
YIL130W	NA
YIL131C	NA
YIL132C	NA
YIL133C	NA
YIL134W	1
YIL135C	2
YIL136W	1
YIL137C	1
YIL138C	NA
YIL139C	NA
YIL140W	NA
YIL141W	NA
YIL142W	NA
YIL143C	NA
YIL144W	1
YIL145C	NA
YIL146C	NA
YIL147C	NA
YIL148W	NA
YIL149C	3
YIL150C	NA
YIL151C	NA
YIL152W	NA
YIL153W	1
YIL154C	3
YIL155C	NA
YIL156W	NA
YIL157C	3
YIL158W	NA
YIL159W	NA
YIL160C	NA
YIL161W	NA
YIL162W	NA
YIL163C	NA
YIL164C	NA
YIL165C	NA
YIL166C	NA
YIL169C	NA
YIL172C	NA
YIL173W	NA
YIL176C	NA
YIL177C	NA
YIR001C	NA
YIR002C	NA
YIR003W	NA
YIR004W	1
YIR005W	NA
YIR006C	NA
YIR007W	NA
YIR008C	NA
YIR009W	NA
YIR010W	NA
YIR011C	2
YIR012W	NA
YIR013C	NA
YIR014W	NA
YIR015W	NA
YIR016W	NA
YIR017C	4
YIR018W	1
YIR019C	NA
YIR020C	NA
YIR020W-B	NA
YIR021W	NA
YIR022W	4
YIR023W	NA
YIR024C	NA
YIR025W	NA
YIR026C	1
YIR027C	NA
YIR028W	NA
YIR029W	NA
YIR030C	NA
YIR031C	NA
YIR032C	NA
YIR033W	2
YIR034C	2
YIR035C	2
YIR036C	1
YIR037W	4
YIR038C	NA
YIR039C	NA
YIR040C	NA
YIR041W	NA
YIR042C	NA
YJL001W	4
YJL002C	2
YJL003W	NA
YJL004C	1
YJL005W	1
YJL006C	1
YJL007C	NA
YJL008C	2
YJL009W	NA
YJL010C	NA
YJL011C	NA
YJL012C	8
YJL012C-A	NA
YJL013C	NA
YJL014W	NA
YJL015C	NA
YJL016W	NA
YJL017W	1
YJL018W	NA
YJL019W	NA
YJL020C	NA
YJL022W	1
YJL023C	1
YJL024C	NA
YJL025W	NA
YJL026W	9
YJL027C	NA
YJL028W	NA
YJL029C	2
YJL030W	NA
YJL031C	3
YJL032W	NA
YJL033W	2
YJL035C	1
YJL036W	1
YJL037W	NA
YJL038C	NA
YJL039C	2
YJL041W	NA
YJL042W	NA
YJL043W	NA
YJL044C	NA
YJL045W	NA
YJL046W	NA
YJL047C	NA
YJL048C	4
YJL049W	NA
YJL050W	NA
YJL051W	NA
YJL052C-A	NA
YJL052W	45
YJL053W	3
YJL054W	3
YJL055W	2
YJL056C	1
YJL057C	NA
YJL058C	NA
YJL059W	2
YJL060W	NA
YJL061W	1
YJL062W	NA
YJL062W-A	NA
YJL063C	1
YJL064W	NA
YJL065C	1
YJL066C	2
YJL067W	NA
YJL068C	NA
YJL069C	NA
YJL070C	NA
YJL071W	1
YJL072C	1
YJL073W	NA
YJL074C	1
YJL075C	NA
YJL076W	NA
YJL077C	NA
YJL078C	1
YJL079C	1
YJL080C	NA
YJL081C	NA
YJL082W	1
YJL083W	NA
YJL084C	1
YJL085W	NA
YJL086C	NA
YJL087C	NA
YJL088W	NA
YJL089W	NA
YJL090C	NA
YJL091C	2
YJL092W	2
YJL093C	2
YJL094C	NA
YJL095W	NA
YJL096W	NA
YJL097W	2
YJL098W	NA
YJL099W	NA
YJL100W	NA
YJL101C	NA
YJL102W	NA
YJL103C	NA
YJL104W	1
YJL105W	NA
YJL106W	1
YJL107C	NA
YJL108C	NA
YJL109C	1
YJL110C	3
YJL111W	3
YJL112W	1
YJL113W	NA
YJL114W	NA
YJL115W	NA
YJL116C	NA
YJL117W	1
YJL118W	NA
YJL119C	NA
YJL120W	NA
YJL121C	NA
YJL122W	1
YJL123C	2
YJL124C	NA
YJL125C	NA
YJL126W	NA
YJL127C	NA
YJL127W-A	NA
YJL128C	1
YJL129C	3
YJL130C	NA
YJL131C	1
YJL132W	2
YJL133W	NA
YJL134W	2
YJL135W	NA
YJL136C	49
YJL137C	NA
YJL138C	NA
YJL139C	NA
